x0000,y0000
90592210.,14069.
90592211.,20808.
90592212.,20353.
90592213.,20606.
90592214.,20903.
90592215.,20634.
90592216.,20165.
90592217.,16111.
90592218.,17520.
90592219.,14182.
90592220.,16178.
90592221.,17115.
90592222.,17422.
90592223.,21230.
90592224.,20862.
90592225.,20757.
90592226.,22198.
90592227.,18760.
90592228.,16421.
90592229.,16841.
90592230.,16707.
90592231.,17126.
90592232.,16389.
90592233.,19668.
90592234.,20239.
90592235.,21269.
90592236.,20187.
90592237.,20694.
90592238.,19682.
90592239.,16212.
90592240.,15073.
90592241.,15783.
90592242.,17535.
90592243.,18785.
90592244.,21011.
90592245.,20623.
90592246.,20281.
90592247.,20363.
90592248.,21106.
90592249.,19370.
90592250.,16169.
90592251.,16299.
90592252.,15932.
90592253.,16639.
90592254.,17443.
90592255.,20899.
90592256.,21656.
90592257.,21473.
90592258.,21037.
90592259.,20265.
90592260.,17128.
90592261.,16370.
90592262.,16195.
90592263.,15643.
90592264.,16359.
90592265.,17387.
90592266.,17015.
90592267.,20914.
90592268.,21394.
90592269.,21368.
90592270.,21428.
90592271.,19074.
90592272.,16623.
90592273.,15984.
90592274.,15472.
90592275.,16632.
90592276.,19678.
90592277.,21011.
90592278.,20531.
90592279.,21227.
90592280.,20480.
90592281.,19427.
90592282.,17514.
90592283.,14947.
90592284.,16803.
90592285.,14838.
90592286.,16075.
90592287.,17393.
90592288.,18560.
90592289.,21550.
90592290.,19699.
90592291.,20645.
90592292.,19410.
90592293.,16740.
90592294.,16008.
90592295.,15234.
90592296.,15125.
90592297.,15170.
90592298.,17894.
90592299.,20370.
90592300.,21490.
90592301.,20138.
90592302.,20782.
90592303.,20537.
90592304.,20039.
90592305.,14851.
90592306.,15637.
90592307.,15160.
90592308.,18272.
90592309.,18091.
90592310.,20738.
90592210.,15598.
90592211.,17875.
90592212.,21989.
90592213.,15616.
90592214.,20112.
90592215.,18413.
90592216.,19058.
90592217.,16363.
90592218.,17001.
90592219.,16358.
90592220.,15674.
90592221.,16622.
90592222.,19281.
90592223.,19272.
90592224.,23228.
90592225.,21859.
90592226.,20247.
90592227.,18248.
90592228.,16515.
90592229.,17184.
90592230.,15688.
90592231.,15758.
90592232.,17367.
90592233.,20100.
90592234.,20990.
90592235.,21973.
90592236.,21460.
90592237.,20780.
90592238.,18705.
90592239.,17845.
90592240.,16533.
90592241.,15528.
90592242.,14518.
90592243.,17488.
90592244.,19167.
90592245.,22330.
90592246.,22116.
90592247.,22101.
90592248.,20253.
90592249.,19847.
90592250.,16711.
90592251.,16125.
90592252.,16884.
90592253.,15155.
90592254.,18726.
90592255.,18076.
90592256.,21740.
90592257.,20303.
90592258.,19472.
90592259.,18827.
90592260.,19952.
90592261.,17395.
90592262.,18407.
90592263.,14840.
90592264.,17123.
90592265.,16889.
90592266.,20138.
90592267.,21937.
90592268.,21545.
90592269.,19229.
90592270.,19697.
90592271.,17614.
90592272.,17374.
90592273.,16835.
90592274.,16505.
90592275.,16004.
90592276.,18028.
90592277.,19561.
90592278.,21300.
90592279.,21508.
90592280.,21948.
90592281.,19036.
90592282.,18298.
90592283.,17159.
90592284.,15785.
90592285.,16768.
90592286.,17891.
90592287.,17558.
90592288.,22470.
90592289.,19069.
90592290.,21868.
90592291.,19221.
90592292.,22752.
90592293.,18840.
90592294.,15828.
90592295.,15923.
90592296.,14728.
90592297.,18113.
90592298.,21066.
90592299.,20942.
90592300.,19525.
90592301.,22166.
90592302.,20399.
90592303.,19617.
90592304.,15843.
90592305.,16469.
90592306.,15182.
90592307.,16464.
90592308.,17065.
90592309.,16354.
90592310.,17847.
90592210.,15917.
90592211.,20696.
90592212.,21785.
90592213.,20030.
90592214.,21986.
90592215.,19610.
90592216.,18604.
90592217.,18155.
90592218.,16574.
90592219.,14829.
90592220.,17597.
90592221.,17825.
90592222.,18254.
90592223.,20873.
90592224.,21142.
90592225.,19596.
90592226.,20503.
90592227.,19611.
90592228.,15096.
90592229.,16898.
90592230.,15573.
90592231.,15796.
90592232.,18112.
90592233.,18979.
90592234.,21532.
90592235.,22250.
90592236.,21196.
90592237.,22404.
90592238.,16992.
90592239.,18751.
90592240.,15370.
90592241.,15822.
90592242.,15488.
90592243.,19470.
90592244.,20199.
90592245.,20543.
90592246.,22211.
90592247.,20567.
90592248.,19793.
90592249.,17326.
90592250.,15658.
90592251.,15033.
