x0000,y0000
87639897.5,0.1280371136
87639897.5125,0.1280599057
87639897.52499999,0.1250317012
87639897.53750001,0.1352574123
87639897.55,0.1221822364
87639897.5625,0.1264015186
87639897.575,0.1259171279
87639897.58749999,0.1240464059
87639897.60000001,0.1300109845
87639897.6125,0.1210407737
87639897.625,0.1266123487
87639897.6375,0.1277496232
87639897.64999999,0.1226844602
87639897.66250001,0.1195485510
87639897.675,0.1238972649
87639897.6875,0.1277332946
87639897.7,0.1238642524
87639897.71249999,0.1201103281
87639897.72500001,0.1162591242
87639897.7375,0.1229305660
87639897.75,0.1180298320
87639897.7625,0.1188402952
87639897.77499999,0.1195626994
87639897.78750001,0.1200862307
87639897.8,0.1219997752
87639897.8125,0.1162232658
87639897.825,0.1200229385
87639897.83749999,0.1165225984
87639897.85000001,0.1155044076
87639897.8625,0.1154438044
87639897.875,0.1221616286
87639897.8875,0.1098817516
87639897.89999999,0.1121627757
87639897.91250001,0.1139680387
87639897.925,0.1181999780
87639897.9375,0.1124197326
87639897.95,0.1078025734
87639897.96249999,0.1143456436
87639897.97500001,0.1179651043
87639897.9875,0.1080480805
87639898.,0.1093255390
87639898.0125,0.1113364714
87639898.02499999,0.1134010687
87639898.03750001,0.1131302329
87639898.05,0.1101853415
87639898.0625,0.1078101140
87639898.075,0.1056182637
87639898.08749999,0.1093311158
87639898.10000001,0.1108572511
87639898.1125,0.1128887537
87639898.125,0.1059932766
87639898.1375,0.1123217836
87639898.14999999,0.1058071352
87639898.16250001,0.1034156575
87639898.175,0.1047581394
87639898.1875,0.1069051873
87639898.2,0.1096434937
87639898.21249999,0.1070067774
87639898.225,0.1013238435
87639898.2375,0.1047697497
87639898.25,0.104656624
87639898.2625,0.1050740375
87639898.275,0.1092054943
87639898.2875,0.1031500742
87639898.3,0.1022165504
87639898.3125,0.1035694279
87639898.325,0.1056207097
87639898.3375,0.1023801846
87639898.35,0.1042355376
87639898.3625,0.1078634062
87639898.375,0.1026455351
