x0000,y0000
5101.,0.1351813014
5102.,0.1173101600
5103.,0.1322200337
5104.,0.1396190223
5105.,0.1237250596
5106.,0.1218072087
5107.,0.1341244835
5108.,0.1337930514
5109.,0.1244457051
5110.,0.1156839788
5111.,0.1262498689
5112.,0.129493358
5113.,0.1303308616
5114.,0.1143400763
5115.,0.1186541582
5116.,0.1337764455
5117.,0.1245916446
5118.,0.1149186968
5119.,0.1121540518
5120.,0.1220278452
5121.,0.1345176473
5122.,0.1154559564
5123.,0.1170688791
5124.,0.1204175587
5125.,0.1259733354
5126.,0.1254137726
5127.,0.1112802428
5128.,0.107268965
5129.,0.1212278626
5130.,0.1288978906
5131.,0.1166489619
5132.,0.1074372326
5133.,0.1028247196
5134.,0.1187310429
5135.,0.130038802
5136.,0.1183956325
5137.,0.1045105347
5138.,0.1040573477
5139.,0.1203015441
5140.,0.1140722814
5141.,0.1045829106
5142.,0.0961177479
5143.,0.1229361486
5144.,0.1198654816
5145.,0.1212555403
5146.,0.0998607614
5147.,0.1044184344
5148.,0.1081869102
5149.,0.1228612281
5150.,0.1167125548
5151.,0.1053733226
5152.,0.1045153923
5153.,0.1040299008
5154.,0.0960382872
5155.,0.0997173533
5156.,0.107205826
5157.,0.1135400272
5158.,0.1082741908
5159.,0.1002588190
5160.,0.0987280260
5161.,0.0979135402
5162.,0.1036543616
5163.,0.104677363
5164.,0.1124821930
5165.,0.1105334364
5166.,0.1037906311
5167.,0.1013233959
5168.,0.0978445723
5169.,0.1055349424
5170.,0.1061661058
5171.,0.1108645731
5172.,0.1016623362
5173.,0.0965361914
5174.,0.0979069971
5175.,0.1001170511
5176.,0.1068046537
5177.,0.1045586809
5178.,0.1007509387
5179.,0.1007381384
5180.,0.1077460464
5181.,0.1010205548
5182.,0.1015887931
5183.,0.1001590898
5184.,0.1055173606
5185.,0.1048447965
5186.,0.1014393618
5187.,0.1023425462
5188.,0.1003695892
5189.,0.0987679374
5190.,0.1083455625
5191.,0.1064570412
5192.,0.1184028239
5193.,0.1060511180
5194.,0.1089341085
5195.,0.0979758264
5196.,0.0950911614
5197.,0.1048256305
5198.,0.1071913425
5199.,0.1073076584
5200.,0.1156176080
5201.,0.1019135732
5202.,0.1032467848
5203.,0.1029038217
5204.,0.1063258232
5205.,0.0998580126
5206.,0.0930783207
5207.,0.0970516327
5208.,0.100188872
5209.,0.1007333971
5210.,0.1007983258
5211.,0.1091196575
5212.,0.1023488797
5213.,0.1087841374
5214.,0.1132787124
5215.,0.1177835575
5216.,0.1137401852
5217.,0.1138470145
5218.,0.1204064173
5219.,0.1129209901
5220.,0.1188577627
5221.,0.1226207383
5222.,0.1024895168
5223.,0.1090928262
5224.,0.1066849686
5225.,0.1169828236
5226.,0.1211373955
5227.,0.1143480591
5228.,0.1065332605
5229.,0.1092980769
5230.,0.103468639
5231.,0.126889293
5232.,0.1197838314
5233.,0.1209712261
5234.,0.1174780695
5235.,0.1106139961
5236.,0.1234663827
5237.,0.1314161788
5238.,0.1264374447
5239.,0.1285348277
5240.,0.1182184453
5241.,0.1100324246
5242.,0.1110695981
5243.,0.1076053256
5244.,0.1239161746
5245.,0.1329518905
5246.,0.1314510222
5247.,0.1221600738
5248.,0.1168572277
5249.,0.1184546981
5250.,0.1362453656
5251.,0.1327112393
5252.,0.1227739063
5253.,0.1137406424
5254.,0.11492808
5255.,0.1301494889
5256.,0.1343925789
5257.,0.1318563482
5258.,0.1275804014
5259.,0.1190228541
5260.,0.1173269461
5261.,0.132393614
5262.,0.1268098753
5263.,0.1281071847
5264.,0.1306998481
5265.,0.1303812451
5266.,0.1271445313
5267.,0.1317945813
5268.,0.1277040245
5269.,0.1279959641
5270.,0.1370668700
5271.,0.1406053143
5272.,0.1345874450
5273.,0.1322549772
5274.,0.1348419976
5275.,0.1333466613
5276.,0.1377130890
5277.,0.1356138415
5278.,0.1291476903
5279.,0.1347235612
5280.,0.1275838519
5281.,0.1342293313
5282.,0.1295830372
5283.,0.1325650338
5284.,0.1358998854
5285.,0.135607034
5286.,0.1342751182
5287.,0.1334164114
5288.,0.1274785896
5289.,0.1240573907
5290.,0.1317997657
5291.,0.1403015248
5292.,0.1302442079
5293.,0.1331545681
5294.,0.1306608553
5295.,0.1279538183
5296.,0.1250422669
5297.,0.1323824232
5298.,0.1269173795
5299.,0.1366157981
5300.,0.1362219302
5301.,0.1268452068
5302.,0.1285597578
5303.,0.1273195827
5304.,0.1354521013
5305.,0.1365999961
5306.,0.1364844960
5307.,0.1289716021
5308.,0.1263963452
5309.,0.1270251504
5310.,0.1310199729
5311.,0.1254241903
5312.,0.1244514438
5313.,0.1261032477
5314.,0.1248946118
5315.,0.1219547217
5316.,0.1219869769
5317.,0.1240880772
5318.,0.1214483615
5319.,0.1266821169
5320.,0.1336268648
5321.,0.1297404618
5322.,0.1158990022
5323.,0.1197461119
5324.,0.1355883397
5325.,0.1392529365
5326.,0.1180106558
5327.,0.1170485156
5328.,0.1200411515
5329.,0.1308632688
5330.,0.1246047591
5331.,0.1273055988
5332.,0.1160824329
5333.,0.1118308412
5334.,0.1228004022
5335.,0.1247287989
5336.,0.1237586309
5337.,0.1298563681
5338.,0.1254484018
5339.,0.1265038657
5340.,0.1167278709
5341.,0.1016388095
5342.,0.1035774773
5343.,0.1192051089
5344.,0.1290953824
5345.,0.1206547274
5346.,0.1070832068
5347.,0.104960521
5348.,0.1160845012
