x0000,y0000
5101.,91132.
5102.,93551.
5103.,92081.
5104.,90605.
5105.,92185.
5106.,94000.
5107.,91788.
5108.,91824.
5109.,92603.
5110.,94414.
5111.,91666.
5112.,90497.
5113.,92418.
5114.,93562.
5115.,91786.
5116.,90445.
5117.,91109.
5118.,92206.
5119.,93642.
5120.,91943.
5121.,92128.
5122.,93468.
5123.,93332.
5124.,92854.
5125.,92042.
5126.,91417.
5127.,93999.
5128.,94051.
5129.,91351.
5130.,91180.
5131.,91471.
5132.,94102.
5133.,94713.
5134.,92394.
5135.,91700.
5136.,91723.
5137.,94184.
5138.,93738.
5139.,91837.
5140.,92979.
5141.,94428.
5142.,93898.
5143.,91633.
5144.,91600.
5145.,91994.
5146.,94385.
5147.,94191.
5148.,92984.
5149.,91404.
5150.,92073.
5151.,93603.
5152.,94102.
5153.,93490.
5154.,93118.
5155.,93326.
5156.,93172.
5157.,91808.
5158.,92727.
5159.,93861.
5160.,93105.
5161.,93172.
5162.,91637.
5163.,92186.
5164.,92206.
5165.,92042.
5166.,93247.
5167.,94051.
5168.,94425.
5169.,93536.
5170.,92426.
5171.,91765.
5172.,93004.
5173.,93064.
5174.,92709.
5175.,93793.
5176.,92435.
5177.,92320.
5178.,93405.
5179.,93686.
5180.,92980.
5181.,93813.
5182.,93698.
5183.,93327.
5184.,93155.
5185.,93695.
5186.,93267.
5187.,92044.
5188.,92984.
5189.,93264.
5190.,92963.
5191.,92924.
5192.,92908.
5193.,92791.
5194.,91958.
5195.,92913.
5196.,93259.
5197.,92177.
5198.,92070.
5199.,91118.
5200.,91974.
5201.,93771.
5202.,92388.
5203.,93237.
5204.,92817.
5205.,92558.
5206.,93841.
5207.,93438.
5208.,93377.
5209.,93066.
5210.,92812.
5211.,92403.
5212.,92827.
5213.,91961.
5214.,91452.
5215.,91245.
5216.,91766.
5217.,91879.
5218.,91505.
5219.,91818.
5220.,92601.
5221.,92052.
5222.,95032.
5223.,92943.
5224.,93715.
5225.,92587.
5226.,91951.
5227.,92540.
5228.,93227.
5229.,92633.
5230.,92609.
5231.,90752.
5232.,91862.
5233.,91557.
5234.,91852.
5235.,92039.
5236.,91376.
5237.,89313.
5238.,90854.
5239.,90818.
5240.,92140.
5241.,92772.
5242.,92791.
5243.,92967.
5244.,91846.
5245.,90923.
5246.,91301.
5247.,91341.
5248.,92148.
5249.,92393.
5250.,90626.
5251.,89597.
5252.,90635.
5253.,91750.
5254.,92236.
5255.,90541.
5256.,90327.
5257.,90675.
5258.,91201.
5259.,92322.
5260.,92129.
5261.,90972.
5262.,92029.
5263.,90846.
5264.,90402.
5265.,91103.
5266.,90866.
5267.,91969.
5268.,91858.
5269.,91611.
5270.,90526.
5271.,90722.
5272.,91732.
5273.,91574.
5274.,91333.
5275.,91035.
5276.,90998.
5277.,91650.
5278.,91018.
5279.,92447.
5280.,90699.
5281.,91473.
5282.,90640.
5283.,91000.
5284.,90454.
5285.,90151.
5286.,91740.
5287.,91097.
5288.,90470.
5289.,91882.
5290.,90430.
5291.,90154.
5292.,90285.
5293.,90516.
5294.,90952.
5295.,90487.
