x0000,y0000
7860.,0.1299710525
7861.,0.1280063371
7862.,0.1274821287
7863.,0.1309978947
7864.,0.1165603069
7865.,0.1333731241
7866.,0.1339643499
7867.,0.1233176062
7868.,0.1299458064
7869.,0.127986466
7870.,0.1253807786
7871.,0.124290146
7872.,0.1205249577
7873.,0.124708275
7874.,0.131819773
7875.,0.1050532595
7876.,0.1018242518
7877.,0.1223184042
7878.,0.1223354799
7879.,0.1348166192
7880.,0.1257524518
7881.,0.1239571120
7882.,0.1312214858
7883.,0.1171153074
7884.,0.1250577071
7885.,0.1161931523
7886.,0.1282496544
7887.,0.1226654991
7888.,0.1272100840
7889.,0.1212510637
7890.,0.1178677794
7891.,0.1126160063
7892.,0.1181246681
7893.,0.1221441890
7894.,0.1188567326
7895.,0.1192243443
7896.,0.1148440778
7897.,0.1134492069
7898.,0.1102518478
7899.,0.1095043138
7900.,0.1135691137
7901.,0.1103893907
7902.,0.0970170059
7903.,0.1020667054
7904.,0.1070173921
7905.,0.1126452868
7906.,0.1111751555
7907.,0.123119414
7908.,0.1120482131
7909.,0.1075372480
7910.,0.1129760349
7911.,0.1083592377
7912.,0.0983895875
7913.,0.112244367
7914.,0.1069194412
7915.,0.1016077723
7916.,0.0994081411
7917.,0.1181284530
7918.,0.1036410769
7919.,0.1060035167
7920.,0.1025614200
7921.,0.097270241
7922.,0.0951891975
7923.,0.1012263526
7924.,0.1028970147
7925.,0.0993521269
7926.,0.1056952196
7927.,0.1002793836
7928.,0.1053373720
7929.,0.0981453122
7930.,0.1025460282
7931.,0.0991593995
7932.,0.0993314888
7933.,0.097228145
7934.,0.1038095899
7935.,0.1038640250
7936.,0.1041599154
7937.,0.0994767899
7938.,0.1011897546
7939.,0.1091400776
7940.,0.1064799247
7941.,0.1002944917
7942.,0.0993222239
7943.,0.1086945119
7944.,0.1032447377
7945.,0.1016668374
7946.,0.1057622426
7947.,0.1047150964
7948.,0.1003030909
7949.,0.1052125181
7950.,0.1100245768
7951.,0.1062173580
7952.,0.1050894740
7953.,0.1079008014
7954.,0.1048805815
7955.,0.1104841155
7956.,0.1065937536
7957.,0.1124673211
7958.,0.1012083032
7959.,0.1105256092
7960.,0.1045661033
7961.,0.1137366962
7962.,0.1160954477
7963.,0.1217527334
7964.,0.1094099695
7965.,0.1086829033
7966.,0.1140791528
7967.,0.1196997057
7968.,0.1031166488
7969.,0.113789515
7970.,0.1260431361
7971.,0.117266976
7972.,0.1176268331
7973.,0.1198097709
7974.,0.1250083317
7975.,0.10705187
7976.,0.1147117366
7977.,0.1180026791
7978.,0.1182934056
7979.,0.1212767398
7980.,0.1123977366
7981.,0.1176968527
7982.,0.1241636818
7983.,0.1249183349
7984.,0.1279952349
7985.,0.1248258810
7986.,0.1233251252
7987.,0.1265517474
7988.,0.1218558804
7989.,0.1232570062
7990.,0.1208571192
7991.,0.1241109353
7992.,0.1255083462
7993.,0.1244538064
7994.,0.1229309313
7995.,0.1208405431
7996.,0.1216982578
7997.,0.1292382623
7998.,0.1220974276
7999.,0.1164075876
8000.,0.1293420033
8001.,0.1318958228
8002.,0.1257677345
8003.,0.1291289774
8004.,0.1298699090
8005.,0.1393271858
8006.,0.1405539136
8007.,0.1330940035
8008.,0.1288339391
8009.,0.134406365
8010.,0.1325012002
8011.,0.1242660634
8012.,0.1316323768
8013.,0.1305925030
8014.,0.1300949943
8015.,0.132439045
8016.,0.1289290262
8017.,0.1327964837
8018.,0.1337801347
8019.,0.1320157295
8020.,0.1301913049
8021.,0.1265372223
8022.,0.1264416698
8023.,0.1271931302
8024.,0.1289350301
8025.,0.1214237630
8026.,0.1284360744
8027.,0.1269914451
8028.,0.1276797507
8029.,0.126535484
8030.,0.1207927181
8031.,0.1231517842
8032.,0.1179766747
8033.,0.1183162301
8034.,0.1268318817
8035.,0.1303404681
8036.,0.1222216622
8037.,0.1160639334
8038.,0.1229899751
8039.,0.1232910804
8040.,0.1168266768
8041.,0.1163441006
8042.,0.1240221947
8043.,0.1146744412
8044.,0.1194690265
8045.,0.1217273267
8046.,0.1231326161
8047.,0.1152718660
8048.,0.1180430649
8049.,0.1184612464
8050.,0.1126722869
8051.,0.1135701516
8052.,0.1165466888
8053.,0.1159368208
8054.,0.1091136288
8055.,0.1200191293
8056.,0.1119227266
8057.,0.1052506413
8058.,0.1078114802
8059.,0.1188338845
8060.,0.1136933045
8061.,0.1079267984
8062.,0.1198964384
8063.,0.1204016823
8064.,0.0999255424
8065.,0.1132440552
8066.,0.1086457146
8067.,0.1058337815
8068.,0.1013593082
8069.,0.1070722143
8070.,0.1102297593
8071.,0.1095114185
8072.,0.0982560030
8073.,0.1099756282
8074.,0.1022794578
8075.,0.0950175219
8076.,0.1080340426
8077.,0.0963915488
8078.,0.1050866792
8079.,0.1056980995
8080.,0.0907519598
8081.,0.1027783008
8082.,0.0939058884
8083.,0.101222374
8084.,0.0991886102
8085.,0.1061978304
8086.,0.1066374663
8087.,0.1063056829
8088.,0.1006236508
8089.,0.0961692078
8090.,0.1046448551
8091.,0.1013061485
8092.,0.1048280423
8093.,0.0973321067
8094.,0.0977882061
8095.,0.091886559
8096.,0.1017897475
8097.,0.0995972362
8098.,0.1014934005
8099.,0.105636736
8100.,0.1078680862
8101.,0.1071871865
8102.,0.0970674487
8103.,0.1051080717
8104.,0.1052206489
8105.,0.1107361601
8106.,0.1049893950
8107.,0.1026520788
8108.,0.0923676252
8109.,0.1044853905
8110.,0.104045745
8111.,0.1060263816
8112.,0.1127771087
8113.,0.1045819053
8114.,0.1131490659
8115.,0.1221772457
8116.,0.1160612329
8117.,0.1086278942
8118.,0.1140150554
8119.,0.1077004453
8120.,0.1169844021
8121.,0.1105692709
8122.,0.1152267528
8123.,0.1144222518
8124.,0.1162339321
8125.,0.1210444112
8126.,0.1172006190
8127.,0.1258576221
8128.,0.112045902
8129.,0.1193687373
8130.,0.1164074428
8131.,0.1226498655
8132.,0.1233929688
8133.,0.1261691412
8134.,0.1188998966
8135.,0.1169318852
8136.,0.1235810630
8137.,0.1247383307
8138.,0.1172005748
8139.,0.1323764753
8140.,0.1198770492
8141.,0.1256863741
8142.,0.1257248508
8143.,0.1320545497
8144.,0.1284717695
8145.,0.1214142654
8146.,0.1263811803
8147.,0.1348948423
8148.,0.1260680263
8149.,0.1277938776
8150.,0.1254176877
8151.,0.1263699578
8152.,0.1323056632
8153.,0.1297456197
8154.,0.1338495389
8155.,0.1291347350
8156.,0.1239229941
8157.,0.1341582492
8158.,0.1327927688
8159.,0.1331943327
8160.,0.1394923925
8161.,0.1269400674
8162.,0.1255718954
8163.,0.1332621726
8164.,0.1326501661
8165.,0.1327275096
8166.,0.1312872270
8167.,0.1311978134
8168.,0.1249431770
8169.,0.1387908497
8170.,0.1288829699
8171.,0.1346960517
8172.,0.1288610444
8173.,0.1341570334
8174.,0.1218380903
8175.,0.1267506769
8176.,0.1320934270
8177.,0.1315927976
8178.,0.1333914999
8179.,0.1312047268
8180.,0.122729829
8181.,0.1279961649
8182.,0.1356018786
8183.,0.1288696060
8184.,0.1180212014
8185.,0.1314499761
8186.,0.1299701452
8187.,0.1305574456
8188.,0.1310361602
8189.,0.1293761516
