x0000,y0000
7860.,50493.
7861.,51738.
7862.,50531.
7863.,51597.
7864.,52744.
7865.,50819.
7866.,50140.
7867.,52956.
7868.,51214.
7869.,50514.
7870.,52255.
7871.,51659.
7872.,51466.
7873.,52507.
7874.,52083.
7875.,52511.
7876.,52731.
7877.,51304.
7878.,50973.
7879.,50435.
7880.,51703.
7881.,51556.
7882.,50463.
7883.,52740.
7884.,51171.
7885.,50955.
7886.,51707.
7887.,52097.
7888.,51931.
7889.,50601.
7890.,52426.
7891.,51825.
7892.,51483.
7893.,50374.
7894.,51546.
7895.,51144.
7896.,50638.
7897.,52537.
7898.,52004.
7899.,50679.
7900.,50328.
7901.,52592.
7902.,51824.
7903.,50964.
7904.,51601.
7905.,51991.
7906.,50887.
7907.,51116.
7908.,52747.
7909.,50915.
7910.,50893.
7911.,52778.
7912.,53131.
7913.,51180.
7914.,51395.
7915.,52246.
7916.,52192.
7917.,51078.
7918.,52904.
7919.,53385.
7920.,51469.
7921.,52482.
7922.,52869.
7923.,51595.
7924.,50785.
7925.,51853.
7926.,52400.
7927.,51204.
7928.,51393.
7929.,53002.
7930.,53473.
7931.,51547.
7932.,52409.
7933.,52925.
7934.,51660.
7935.,51880.
7936.,52524.
7937.,53872.
7938.,51900.
7939.,52379.
7940.,53143.
7941.,53770.
7942.,53022.
7943.,50980.
7944.,52870.
7945.,52601.
7946.,51678.
7947.,50640.
7948.,54025.
7949.,53009.
7950.,51421.
7951.,53736.
7952.,52610.
7953.,51872.
7954.,52582.
7955.,52807.
7956.,53750.
7957.,51263.
7958.,52218.
7959.,53002.
7960.,53615.
7961.,51795.
7962.,50600.
7963.,52773.
7964.,52527.
7965.,51675.
7966.,52202.
7967.,52649.
7968.,52691.
7969.,51947.
7970.,51421.
7971.,52324.
7972.,51325.
7973.,50897.
7974.,52510.
7975.,52575.
7976.,50704.
7977.,50041.
7978.,52078.
7979.,51922.
7980.,50667.
7981.,52115.
7982.,51839.
7983.,52238.
7984.,51239.
7985.,50263.
7986.,51623.
7987.,51785.
7988.,51670.
7989.,51307.
7990.,53131.
7991.,52584.
7992.,51393.
7993.,50294.
7994.,52775.
7995.,52841.
7996.,51573.
7997.,51132.
7998.,53308.
7999.,52124.
8000.,51684.
8001.,51331.
8002.,52808.
8003.,51701.
8004.,51168.
8005.,50401.
8006.,51761.
8007.,52160.
8008.,51296.
8009.,52004.
8010.,52403.
8011.,52650.
8012.,51324.
8013.,52487.
8014.,51648.
8015.,51416.
8016.,51989.
8017.,52876.
8018.,53250.
8019.,50988.
8020.,51878.
8021.,51778.
8022.,51353.
8023.,51836.
8024.,52020.
8025.,52205.
8026.,52157.
8027.,51126.
8028.,51514.
8029.,52690.
8030.,51773.
8031.,51357.
8032.,52259.
8033.,52238.
8034.,50525.
8035.,51316.
8036.,52248.
8037.,52649.
8038.,52140.
8039.,52841.
8040.,53447.
8041.,52141.
8042.,51624.
8043.,52838.
8044.,53133.
8045.,51761.
8046.,51594.
8047.,53419.
8048.,51486.
8049.,51079.
8050.,53048.
8051.,53551.
8052.,51667.
8053.,51662.
8054.,53471.
8055.,51522.
8056.,51671.
8057.,52673.
8058.,51945.
8059.,50356.
8060.,51295.
8061.,52792.
8062.,51670.
8063.,51241.
8064.,53189.
8065.,52245.
8066.,52384.
8067.,51546.
8068.,53417.
8069.,51463.
8070.,52048.
8071.,52017.
8072.,52688.
8073.,52952.
8074.,53049.
8075.,52165.
8076.,52403.
8077.,52562.
8078.,51777.
8079.,51620.
8080.,52079.
8081.,52413.
8082.,52857.
8083.,51322.
8084.,53401.
8085.,52897.
8086.,53030.
8087.,51660.
8088.,52493.
8089.,52048.
8090.,52817.
8091.,53599.
8092.,51433.
8093.,53966.
8094.,52294.
8095.,54307.
8096.,52495.
8097.,51865.
8098.,52825.
8099.,51535.
8100.,51534.
8101.,52509.
8102.,52343.
8103.,52540.
8104.,52069.
8105.,52704.
8106.,53169.
8107.,51261.
8108.,53121.
8109.,53267.
8110.,52020.
8111.,51846.
8112.,52308.
8113.,53820.
8114.,52075.
8115.,50962.
8116.,53412.
8117.,52049.
8118.,52375.
8119.,52295.
8120.,51969.
8121.,52528.
8122.,52598.
8123.,52629.
8124.,51908.
8125.,51774.
8126.,53623.
8127.,51855.
8128.,52772.
8129.,53346.
8130.,52663.
8131.,52498.
8132.,51889.
8133.,53440.
8134.,52829.
8135.,52441.
8136.,52501.
8137.,54773.
8138.,52222.
8139.,52047.
8140.,53258.
8141.,53341.
8142.,52015.
8143.,52443.
8144.,53470.
8145.,54395.
8146.,51471.
8147.,51376.
8148.,53392.
8149.,52369.
8150.,51038.
8151.,53647.
8152.,52630.
8153.,52103.
8154.,51568.
8155.,53182.
8156.,52060.
8157.,51431.
8158.,52192.
8159.,52798.
8160.,51806.
8161.,51583.
8162.,53515.
8163.,52780.
8164.,51969.
8165.,53254.
8166.,52505.
8167.,52129.
8168.,51974.
8169.,52706.
8170.,52328.
8171.,51984.
8172.,51865.
8173.,53329.
8174.,53012.
8175.,52250.
8176.,51985.
8177.,54450.
8178.,51649.
8179.,52053.
8180.,53038.
8181.,52751.
8182.,52456.
8183.,52003.
8184.,53664.
8185.,52635.
8186.,51290.
8187.,52390.
8188.,53589.
8189.,52920.
8190.,51535.
8191.,53103.
8192.,52668.
8193.,50990.
8194.,51394.
8195.,54304.
8196.,51451.
8197.,51296.
8198.,53287.
8199.,54303.
8200.,51766.
8201.,51697.
8202.,53170.
8203.,53388.
8204.,51827.
8205.,52514.
8206.,53392.
8207.,53861.
8208.,52273.
8209.,52326.
8210.,53173.
8211.,52664.
8212.,52057.
8213.,52302.
8214.,53087.
8215.,51230.
8216.,52294.
8217.,53566.
8218.,53274.
8219.,51550.
8220.,52682.
8221.,53674.
8222.,51845.
8223.,51480.
8224.,53901.
8225.,52589.
8226.,52128.
8227.,54075.
8228.,52705.
8229.,51936.
8230.,51525.
8231.,52234.
8232.,51957.
8233.,51228.
8234.,53813.
8235.,53206.
8236.,53008.
8237.,52590.
