x0000,y0000
90592210.,25051.
90592211.,23750.
90592212.,22351.
90592213.,22798.
90592214.,21376.
90592215.,24151.
90592216.,19632.
90592217.,23850.
90592218.,18847.
90592219.,22337.
90592220.,18690.
90592221.,20684.
90592222.,18852.
90592223.,17121.
90592224.,19089.
90592225.,18964.
90592226.,20971.
90592227.,18830.
90592228.,17111.
90592229.,22635.
90592230.,18915.
90592231.,21741.
90592232.,22247.
90592233.,20086.
90592234.,24689.
90592235.,21094.
90592236.,21387.
90592237.,22287.
90592238.,23027.
90592239.,24339.
90592240.,22526.
90592241.,19751.
90592242.,23960.
90592243.,18152.
90592244.,19856.
90592245.,21825.
90592246.,17209.
90592247.,19521.
90592248.,17419.
90592249.,18092.
90592250.,17928.
90592251.,17594.
90592252.,21668.
90592253.,18120.
90592254.,22655.
90592255.,18545.
90592256.,22640.
90592257.,20829.
90592258.,23433.
90592259.,22212.
90592260.,21082.
90592261.,22223.
90592262.,22926.
90592263.,21716.
90592264.,20551.
90592265.,23034.
90592266.,18889.
90592267.,18705.
90592268.,21996.
90592269.,18388.
90592270.,17915.
90592271.,20955.
90592272.,18901.
90592273.,17787.
90592274.,17291.
90592275.,18842.
90592276.,18125.
90592277.,20258.
90592278.,20165.
90592279.,17465.
90592280.,21727.
90592281.,19737.
90592282.,22240.
90592283.,22852.
90592284.,20121.
90592285.,22329.
90592286.,23998.
90592287.,22540.
90592288.,23770.
90592289.,21556.
90592290.,18760.
90592291.,24653.
90592292.,17818.
90592293.,21966.
90592294.,17810.
90592295.,19088.
90592296.,17622.
90592297.,18655.
90592298.,19537.
90592299.,21475.
90592300.,18480.
90592301.,20624.
90592302.,17729.
90592303.,18771.
90592304.,22646.
90592305.,19544.
90592306.,21253.
90592307.,24216.
90592308.,19479.
90592309.,21836.
90592310.,22395.
90592210.,18972.
90592211.,23707.
90592212.,21995.
90592213.,22374.
90592214.,20631.
90592215.,23698.
90592216.,23686.
90592217.,18519.
90592218.,23170.
90592219.,19609.
90592220.,18266.
90592221.,19507.
90592222.,17716.
90592223.,19191.
90592224.,20815.
90592225.,19231.
90592226.,19145.
90592227.,17811.
90592228.,19793.
90592229.,17884.
90592230.,19025.
90592231.,20774.
90592232.,19442.
90592233.,20108.
90592234.,21983.
90592235.,24213.
90592236.,22099.
90592237.,24295.
90592238.,21773.
90592239.,23267.
90592240.,21810.
90592241.,19940.
90592242.,23452.
90592243.,21759.
90592244.,18454.
90592245.,17911.
90592246.,19410.
90592247.,20819.
90592248.,17825.
90592249.,18281.
90592250.,19287.
90592251.,17214.
90592252.,19810.
90592253.,18276.
90592254.,18038.
90592255.,22082.
90592256.,21689.
90592257.,20865.
90592258.,20812.
90592259.,23155.
90592260.,22259.
90592261.,22529.
90592262.,22213.
90592263.,22698.
90592264.,21412.
90592265.,20557.
90592266.,24086.
90592267.,18728.
90592268.,21630.
90592269.,22415.
90592270.,17525.
90592271.,17422.
90592272.,19089.
90592273.,20680.
90592274.,18833.
90592275.,18824.
90592276.,19451.
90592277.,23651.
90592278.,20659.
90592279.,20036.
90592280.,23874.
90592281.,21164.
90592282.,18663.
90592283.,23638.
90592284.,23156.
90592285.,22800.
90592286.,21795.
90592287.,22136.
90592288.,20172.
90592289.,18768.
90592290.,23012.
90592291.,19162.
90592292.,17655.
90592293.,21902.
90592294.,16905.
90592295.,23939.
90592296.,18661.
90592297.,18052.
90592298.,17938.
90592299.,21410.
90592300.,17136.
90592301.,17713.
90592302.,19430.
90592303.,20245.
90592304.,17336.
90592305.,22958.
90592306.,20764.
90592307.,19687.
90592308.,23931.
90592309.,22429.
90592310.,21637.
90592210.,22788.
90592211.,23870.
90592212.,22502.
90592213.,20477.
90592214.,23408.
90592215.,22526.
90592216.,19447.
90592217.,22905.
90592218.,19362.
90592219.,21090.
90592220.,20439.
90592221.,18320.
90592222.,19325.
90592223.,21073.
90592224.,18987.
90592225.,17274.
90592226.,18339.
90592227.,19120.
90592228.,20548.
90592229.,18184.
90592230.,20864.
90592231.,22086.
90592232.,20046.
90592233.,22560.
90592234.,22766.
90592235.,20875.
90592236.,22775.
90592237.,23384.
90592238.,24767.
90592239.,20094.
90592240.,25989.
90592241.,25059.
90592242.,18980.
90592243.,20302.
90592244.,23661.
90592245.,20340.
90592246.,17960.
90592247.,19719.
90592248.,20600.
90592249.,18805.
90592250.,18301.
90592251.,19543.
90592252.,17914.
90592253.,20455.
90592254.,20222.
90592255.,21297.
90592256.,21402.
90592257.,22305.
90592258.,22711.
90592259.,21709.
90592260.,22378.
90592261.,21934.
90592262.,22173.
90592263.,22780.
90592264.,21536.
90592265.,22981.
90592266.,21150.
90592267.,22065.
90592268.,17890.
90592269.,20510.
90592270.,18346.
90592271.,20780.
90592272.,17370.
90592273.,19924.
90592274.,18713.
90592275.,18958.
90592276.,19702.
90592277.,18530.
90592278.,19369.
90592279.,21278.
90592280.,17690.
90592281.,23581.
90592282.,19658.
90592283.,23889.
90592284.,22603.
90592285.,22806.
90592286.,22023.
90592287.,24656.
90592288.,22851.
90592289.,23295.
90592290.,20532.
90592291.,23835.
90592292.,18810.
90592293.,23931.
90592294.,17156.
90592295.,19137.
90592296.,19682.
90592297.,18206.
90592298.,18852.
90592299.,19284.
90592300.,21355.
90592301.,22891.
90592302.,19853.
90592303.,22004.
90592304.,20396.
90592305.,17632.
90592306.,22534.
90592307.,22246.
90592308.,21427.
90592309.,22839.
90592310.,23418.
90592210.,21708.
90592211.,24599.
90592212.,23184.
90592213.,22847.
90592214.,24352.
90592215.,21357.
90592216.,23996.
90592217.,23577.
90592218.,18911.
90592219.,19619.
90592220.,21306.
90592221.,18478.
90592222.,17880.
90592223.,19297.
90592224.,17589.
90592225.,20049.
90592226.,18340.
90592227.,19323.
90592228.,19670.
90592229.,18561.
90592230.,19423.
90592231.,21934.
90592232.,21524.
90592233.,22810.
90592234.,21733.
90592235.,23319.
90592236.,22478.
90592237.,22664.
90592238.,23325.
90592239.,24603.
90592240.,22007.
90592241.,18227.
90592242.,20256.
90592243.,23878.
90592244.,21365.
90592245.,19751.
90592246.,20285.
90592247.,19462.
90592248.,17771.
90592249.,18652.
90592250.,18720.
90592251.,20577.
90592252.,22405.
90592253.,17311.
90592254.,18705.
90592255.,23013.
90592256.,20132.
90592257.,19584.
90592258.,24281.
90592259.,24320.
90592260.,22721.
90592261.,23113.
90592262.,25083.
90592263.,24149.
90592264.,24601.
90592265.,19807.
90592266.,22205.
90592267.,22047.
90592268.,17785.
90592269.,20851.
90592270.,18317.
90592271.,19412.
90592272.,20869.
90592273.,18522.
90592274.,18722.
90592275.,18282.
90592276.,19802.
90592277.,17876.
90592278.,18124.
90592279.,22513.
90592280.,17630.
90592281.,22151.
90592282.,22707.
90592283.,20139.
90592284.,24204.
90592285.,22781.
90592286.,24383.
90592287.,25305.
90592288.,22881.
90592289.,20547.
90592290.,22397.
90592291.,21820.
90592292.,18236.
90592293.,17827.
90592294.,20133.
90592295.,21117.
90592296.,18323.
90592297.,17722.
90592298.,18448.
90592299.,20506.
90592300.,21631.
90592301.,18320.
90592302.,18687.
90592303.,21655.
90592304.,23181.
90592305.,20891.
90592306.,17326.
90592307.,20850.
90592308.,22817.
90592309.,23340.
90592310.,21332.
90592210.,23183.
90592211.,23021.
90592212.,23081.
90592213.,22995.
90592214.,21065.
90592215.,22996.
90592216.,23684.
90592217.,19554.
90592218.,19114.
90592219.,23558.
90592220.,19745.
90592221.,18524.
90592222.,19432.
90592223.,20817.
90592224.,18352.
90592225.,18846.
90592226.,19385.
90592227.,17632.
90592228.,18194.
90592229.,21326.
90592230.,19045.
90592231.,19535.
90592232.,22343.
90592233.,23084.
90592234.,20886.
90592235.,24076.
90592236.,23704.
90592237.,23087.
90592238.,23342.
90592239.,20895.
90592240.,23398.
90592241.,23791.
90592242.,20963.
90592243.,19311.
90592244.,22389.
90592245.,20476.
90592246.,19002.
90592247.,20657.
90592248.,19996.
90592249.,18195.
90592250.,18210.
90592251.,18229.
90592252.,18804.
90592253.,19116.
90592254.,23737.
90592255.,19530.
90592256.,21135.
90592257.,21046.
90592258.,20319.
90592259.,23971.
90592260.,23703.
90592261.,22585.
90592262.,21758.
90592263.,23277.
90592264.,23784.
90592265.,21039.
90592266.,22296.
90592267.,20518.
90592268.,22252.
90592269.,22532.
90592270.,17951.
90592271.,19637.
90592272.,20054.
90592273.,19520.
90592274.,19398.
90592275.,18934.
90592276.,18573.
90592277.,19662.
90592278.,23043.
90592279.,19455.
90592280.,17779.
90592281.,23869.
90592282.,23958.
90592283.,20714.
90592284.,23683.
90592285.,22656.
90592286.,22376.
90592287.,23507.
90592288.,23688.
90592289.,21303.
90592290.,21812.
90592291.,19330.
90592292.,18966.
90592293.,19134.
90592294.,21644.
90592295.,23006.
