x0000,y0000
25460000.,148123.
25460800.,142041.
25461600.,132889.
25462400.,124686.
25463200.,120328.
25464000.,113525.
25464800.,107878.
25465600.,103155.
25466400.,101481.
25467200.,98866.
25468000.,99446.
25468800.,97415.
25469600.,99293.
25470400.,100499.
25471200.,101634.
25472000.,98362.
25472800.,98655.
25473600.,97273.
25474400.,95563.
25475200.,91364.
25476000.,89614.
25476800.,89537.
25477600.,81594.
25478400.,78620.
25479200.,75333.
25480000.,77831.
25480800.,74469.
25481600.,73628.
25482400.,73678.
25483200.,73971.
25484000.,76772.
25484800.,78734.
25485600.,78033.
25486400.,81137.
25487200.,81459.
25488000.,80652.
25488800.,80359.
25489600.,79347.
25490400.,75591.
25491200.,75720.
25492000.,73096.
25492800.,70193.
25493600.,68648.
25494400.,67288.
25495200.,65427.
25496000.,65811.
25496800.,65561.
25497600.,66060.
25498400.,68832.
25499200.,69705.
25500000.,71319.
25500800.,73668.
25501600.,73266.
25502400.,75488.
25503200.,75881.
25504000.,73951.
25504800.,74913.
25505600.,72399.
25506400.,69795.
25507200.,69985.
25508000.,67310.
25508800.,64771.
25509600.,63414.
25510400.,63795.
25511200.,63891.
25512000.,64453.
25512800.,64481.
25513600.,66409.
25514400.,69837.
25515200.,69386.
25516000.,70904.
25516800.,73780.
25517600.,73495.
25518400.,73080.
25519200.,72351.
25520000.,70760.
25520800.,69216.
25521600.,68356.
25522400.,65800.
25523200.,63408.
25524000.,62667.
25524800.,61287.
25525600.,61695.
25526400.,61737.
25527200.,63133.
25528000.,63991.
25528800.,66265.
25529600.,67958.
25530400.,70322.
25531200.,71827.
25532000.,72125.
25532800.,72901.
25533600.,72467.
25534400.,70558.
25535200.,71295.
25536000.,68747.
25536800.,65388.
25537600.,66217.
25538400.,63905.
25539200.,61571.
25540000.,62132.
25460000.,71620.
25460800.,72048.
25461600.,69176.
25462400.,67067.
25463200.,67583.
25464000.,65126.
25464800.,63385.
25465600.,62155.
25466400.,62993.
25467200.,62990.
25468000.,64186.
25468800.,64270.
25469600.,67522.
25470400.,69584.
25471200.,69799.
25472000.,71971.
25472800.,73366.
25473600.,72887.
25474400.,72390.
25475200.,72070.
25476000.,69793.
25476800.,69879.
25477600.,66469.
25478400.,65296.
25479200.,62609.
25480000.,62481.
25480800.,62364.
25481600.,63179.
25482400.,63233.
25483200.,67096.
25484000.,68116.
25484800.,71128.
25485600.,70028.
25486400.,71306.
25487200.,71602.
25488000.,72976.
25488800.,72179.
25489600.,70974.
25490400.,70041.
25491200.,70556.
25492000.,66165.
25492800.,70309.
25493600.,69003.
25494400.,63811.
25495200.,68290.
25496000.,63574.
25496800.,67100.
25497600.,71910.
25498400.,63588.
25499200.,73272.
25500000.,62219.
25500800.,64353.
25501600.,72493.
25502400.,64292.
25503200.,69328.
25504000.,67430.
25504800.,70612.
25505600.,71459.
25506400.,69144.
25507200.,62043.
25508000.,62534.
25508800.,72879.
25509600.,61879.
25510400.,69399.
25511200.,68293.
