x0000,y0000
25460000.,153065.
25460800.,149186.
25461600.,139858.
25462400.,129693.
25463200.,125289.
25464000.,116724.
25464800.,109200.
25465600.,106189.
25466400.,102987.
25467200.,101108.
25468000.,101520.
25468800.,98125.
25469600.,99860.
25470400.,101503.
25471200.,99470.
25472000.,100922.
25472800.,100041.
25473600.,98863.
25474400.,96790.
25475200.,92736.
25476000.,89869.
25476800.,87466.
25477600.,84778.
25478400.,78462.
25479200.,76069.
25480000.,76179.
25480800.,74128.
25481600.,73394.
25482400.,72746.
25483200.,74405.
25484000.,76809.
25484800.,78702.
25485600.,78170.
25486400.,80452.
25487200.,82343.
25488000.,81707.
25488800.,82064.
25489600.,80690.
25490400.,78543.
25491200.,77601.
25492000.,74353.
25492800.,71539.
25493600.,71052.
25494400.,68944.
25495200.,67814.
25496000.,68053.
25496800.,67782.
25497600.,69196.
25498400.,71220.
25499200.,71388.
25500000.,73772.
25500800.,75299.
25501600.,75511.
25502400.,77178.
25503200.,76879.
25504000.,77024.
25504800.,75325.
25505600.,75220.
25506400.,74360.
25507200.,76416.
25508000.,66222.
25508800.,75301.
25509600.,65785.
25510400.,77025.
25511200.,70689.
25512000.,66325.
25512800.,76428.
25513600.,67247.
25514400.,70015.
25515200.,73804.
25516000.,76106.
25516800.,66643.
25517600.,66889.
25518400.,76789.
25519200.,72016.
25520000.,70744.
25520800.,76728.
25521600.,68517.
25522400.,67952.
25523200.,77325.
25524000.,76574.
25524800.,68859.
25525600.,75962.
25526400.,70660.
25527200.,70258.
25528000.,68196.
25528800.,69993.
25529600.,65528.
25530400.,66343.
25531200.,73382.
25532000.,68845.
25532800.,75803.
25533600.,73028.
25534400.,65661.
25535200.,75823.
25536000.,65637.
25536800.,76216.
25537600.,65244.
25538400.,75216.
25539200.,66769.
25540000.,73287.
25460000.,76347.
25460800.,64981.
25461600.,65446.
25462400.,69387.
25463200.,65500.
25464000.,76765.
25464800.,70680.
25465600.,68105.
25466400.,65767.
25467200.,73335.
25468000.,73596.
25468800.,65626.
25469600.,71455.
25470400.,77222.
25471200.,77805.
25472000.,74954.
25472800.,69578.
25473600.,77010.
25474400.,75284.
25475200.,74602.
25476000.,72676.
25476800.,66063.
25477600.,72121.
25478400.,72325.
25479200.,70910.
25480000.,73562.
25480800.,66299.
25481600.,74725.
25482400.,72536.
25483200.,70300.
25484000.,73285.
25484800.,77222.
25485600.,67186.
25486400.,73221.
25487200.,66187.
25488000.,68190.
25488800.,66511.
25489600.,72132.
25490400.,76565.
25491200.,66138.
25492000.,68123.
25492800.,76913.
25493600.,75224.
25494400.,73396.
25495200.,74712.
25496000.,76254.
25496800.,65891.
25497600.,77062.
25498400.,69875.
25499200.,74513.
25500000.,67668.
25500800.,67424.
25501600.,73801.
25502400.,67090.
25503200.,66255.
25504000.,67885.
25504800.,75839.
25505600.,72666.
25506400.,76864.
25507200.,78164.
25508000.,69780.
25508800.,66364.
