x0000,y0000
25460000.,150255.
25460800.,143876.
25461600.,135463.
25462400.,126452.
25463200.,120645.
25464000.,114063.
25464800.,107231.
25465600.,102994.
25466400.,100938.
25467200.,99670.
25468000.,99515.
25468800.,97362.
25469600.,98255.
25470400.,99064.
25471200.,97209.
25472000.,98769.
25472800.,97802.
25473600.,97267.
25474400.,95360.
25475200.,91404.
25476000.,89895.
25476800.,87945.
25477600.,83155.
25478400.,78863.
25479200.,75427.
25480000.,75487.
25480800.,72144.
25481600.,72404.
25482400.,72075.
25483200.,73679.
25484000.,74419.
25484800.,78393.
25485600.,76277.
25486400.,79211.
25487200.,80300.
25488000.,79688.
25488800.,79100.
25489600.,77307.
25490400.,75607.
25491200.,75139.
25492000.,71303.
25492800.,69327.
25493600.,69427.
25494400.,67353.
25495200.,66065.
25496000.,65520.
25496800.,65584.
25497600.,66599.
25498400.,68195.
25499200.,68049.
25500000.,71233.
25500800.,69307.
25501600.,73969.
25502400.,74750.
25503200.,74660.
25504000.,74970.
25504800.,73945.
25505600.,72715.
25506400.,69763.
25507200.,69308.
25508000.,65877.
25508800.,65091.
25509600.,63464.
25510400.,63126.
25511200.,63921.
25512000.,65936.
25512800.,65521.
25513600.,67792.
25514400.,67725.
25515200.,70045.
25516000.,70435.
25516800.,72902.
25517600.,73832.
25518400.,74309.
25519200.,72928.
25520000.,71891.
25520800.,72054.
25521600.,68498.
25522400.,66845.
25523200.,64703.
25524000.,65703.
25524800.,63096.
25525600.,62485.
25526400.,62674.
25527200.,63963.
25528000.,66540.
25528800.,68828.
25529600.,68750.
25530400.,70976.
25531200.,72667.
25532000.,71472.
25532800.,73552.
25533600.,74076.
25534400.,71798.
25535200.,70157.
25536000.,67630.
25536800.,68703.
25537600.,66555.
25538400.,65920.
25539200.,63595.
25540000.,63752.
25460000.,72194.
25460800.,71820.
25461600.,70503.
25462400.,67143.
25463200.,67964.
25464000.,64360.
25464800.,62880.
25465600.,62937.
25466400.,62710.
25467200.,63543.
25468000.,64702.
25468800.,65196.
25469600.,66953.
25470400.,70079.
25471200.,69773.
25472000.,72356.
25472800.,72833.
25473600.,74027.
25474400.,73504.
25475200.,72746.
25476000.,69807.
25476800.,70592.
25477600.,67716.
25478400.,65079.
25479200.,63207.
25480000.,63637.
25480800.,62086.
25481600.,62529.
25482400.,63111.
25483200.,65020.
25484000.,66767.
25484800.,68934.
25485600.,69160.
25486400.,72040.
25487200.,72785.
25488000.,72647.
25488800.,74111.
25489600.,72343.
25490400.,70605.
25491200.,70405.
25492000.,68372.
25492800.,65167.
25493600.,65134.
25494400.,63507.
25495200.,62412.
25496000.,62000.
25496800.,62498.
25497600.,64131.
25498400.,65475.
25499200.,66228.
25500000.,68712.
25500800.,71210.
25501600.,72314.
25502400.,73239.
25503200.,73967.
25504000.,73405.
25504800.,73298.
25505600.,70587.
25506400.,69271.
25507200.,68983.
25508000.,67223.
25508800.,64535.
25509600.,63301.
25510400.,63036.
25511200.,62965.
25512000.,64726.
25512800.,64548.
25513600.,66371.
25514400.,69003.
25515200.,68998.
25516000.,70931.
25516800.,74285.
25517600.,73069.
25518400.,73823.
25519200.,73902.
25520000.,71156.
25520800.,71646.
25521600.,68941.
25522400.,66324.
25523200.,64151.
25524000.,64466.
25524800.,62860.
25525600.,63601.
25526400.,63086.
25527200.,64703.
25528000.,66284.
25528800.,68189.
25529600.,68498.
25530400.,71046.
25531200.,73416.
25532000.,73162.
25532800.,74203.
25533600.,73529.
25534400.,72019.
25535200.,71733.
25536000.,70187.
25536800.,67086.
25537600.,67040.
25538400.,64696.
25539200.,63071.
25540000.,63371.
25460000.,72902.
25460800.,71532.
25461600.,70773.
25462400.,67955.
25463200.,66860.
25464000.,65583.
25464800.,64051.
25465600.,63088.
25466400.,63334.
25467200.,63745.
25468000.,64976.
25468800.,64620.
25469600.,66738.
25470400.,70314.
25471200.,70497.
25472000.,71865.
25472800.,73970.
25473600.,73345.
25474400.,74391.
25475200.,73187.
25476000.,70669.
25476800.,71136.
25477600.,68167.
25478400.,65310.
25479200.,63440.
25480000.,63795.
25480800.,63428.
25481600.,63755.
25482400.,64024.
25483200.,65123.
25484000.,66529.
25484800.,69884.
25485600.,69782.
25486400.,73008.
25487200.,74676.
25488000.,74113.
25488800.,74014.
25489600.,73921.
25490400.,70995.
25491200.,71247.
25492000.,69287.
25492800.,65721.
25493600.,66320.
25494400.,64078.
25495200.,63466.
25496000.,63243.
25496800.,63378.
25497600.,64504.
25498400.,66995.
25499200.,68003.
25500000.,69853.
25500800.,71952.
25501600.,72573.
25502400.,73446.
25503200.,74677.
25504000.,73206.
25504800.,72712.
25505600.,71241.
25506400.,69907.
25507200.,68272.
25508000.,66532.
25508800.,66954.
25509600.,71031.
25510400.,63619.
25511200.,72225.
25512000.,72750.
25512800.,74263.
25513600.,63251.
25514400.,67995.
25515200.,66452.
25516000.,66329.
25516800.,62283.
25517600.,66594.
25518400.,63144.
25519200.,68700.
25520000.,67456.
25520800.,72109.
25521600.,72719.
25522400.,67466.
25523200.,63408.
25524000.,73654.
25524800.,62915.
25525600.,63591.
25526400.,72648.
25527200.,74576.
25528000.,73978.
25528800.,69635.
25529600.,72319.
25530400.,63083.
25531200.,64928.
25532000.,63375.
25532800.,64335.
25533600.,72907.
25534400.,69100.
25535200.,65291.
25536000.,65749.
25536800.,73765.
25537600.,70853.
25538400.,65393.
25539200.,74312.
25540000.,72775.
25460000.,63423.
25460800.,74768.
25461600.,68511.
25462400.,73953.
25463200.,72831.
25464000.,64612.
25464800.,62945.
25465600.,66139.
25466400.,64268.
25467200.,63560.
25468000.,67371.
25468800.,67482.
25469600.,66127.
25470400.,67274.
25471200.,63882.
25472000.,63481.
25472800.,66585.
25473600.,70723.
25474400.,71846.
25475200.,63162.
25476000.,71092.
25476800.,73581.
25477600.,66818.
25478400.,74319.
25479200.,74308.
25480000.,69317.
25480800.,65129.
25481600.,68865.
25482400.,72776.
25483200.,68592.
25484000.,63447.
25484800.,63497.
25485600.,63517.
25486400.,74210.
25487200.,64383.
25488000.,74106.
25488800.,75278.
25489600.,67592.
25490400.,74950.
25491200.,71732.
25492000.,73807.
25492800.,74055.
25493600.,71711.
25494400.,73874.
25495200.,67333.
25496000.,64043.
25496800.,62975.
25497600.,63995.
25498400.,64328.
25499200.,63824.
25500000.,64407.
