x0000,y0000
25460000.,150613.
25460800.,145933.
25461600.,135521.
25462400.,125132.
25463200.,122978.
25464000.,113527.
25464800.,107756.
25465600.,103124.
25466400.,100378.
25467200.,98915.
25468000.,98842.
25468800.,96927.
25469600.,99234.
25470400.,99794.
25471200.,97649.
25472000.,97731.
25472800.,99257.
25473600.,97623.
25474400.,96005.
25475200.,93321.
25476000.,88769.
25476800.,88471.
25477600.,82375.
25478400.,80150.
25479200.,76817.
25480000.,75681.
25480800.,74205.
25481600.,74308.
25482400.,73616.
25483200.,75665.
25484000.,76139.
25484800.,80056.
25485600.,78511.
25486400.,80389.
25487200.,81469.
25488000.,80714.
25488800.,81156.
25489600.,78777.
25490400.,76800.
25491200.,76880.
25492000.,72368.
25492800.,70133.
25493600.,70333.
25494400.,68548.
25495200.,65635.
25496000.,66239.
25496800.,65764.
25497600.,66528.
25498400.,68025.
25499200.,69514.
25500000.,71752.
25500800.,74594.
25501600.,73843.
25502400.,76002.
25503200.,76604.
25504000.,74510.
25504800.,75155.
25505600.,73958.
25506400.,70604.
25507200.,70784.
25508000.,68138.
25508800.,66458.
25509600.,64978.
25510400.,64712.
25511200.,64663.
25512000.,65627.
25512800.,66447.
25513600.,68265.
25514400.,70884.
25515200.,70480.
25516000.,73535.
25516800.,74039.
25517600.,75116.
25518400.,75397.
25519200.,73749.
25520000.,73641.
25520800.,73456.
25521600.,71767.
25522400.,67996.
25523200.,66281.
25524000.,66394.
25524800.,65675.
25525600.,63800.
25526400.,64359.
25527200.,64266.
25528000.,67355.
25528800.,68816.
25529600.,69838.
25530400.,72316.
25531200.,74320.
25532000.,74503.
25532800.,74818.
25533600.,74629.
25534400.,73292.
25535200.,72939.
25536000.,70498.
25536800.,68105.
25537600.,66796.
25538400.,66492.
25539200.,63554.
25540000.,64275.
25460000.,73017.
25460800.,74120.
25461600.,70978.
25462400.,67955.
25463200.,68161.
25464000.,65851.
25464800.,64318.
25465600.,63162.
25466400.,63451.
25467200.,64300.
25468000.,65575.
25468800.,65772.
25469600.,67152.
25470400.,70322.
25471200.,71121.
25472000.,73016.
25472800.,74411.
25473600.,74737.
25474400.,73846.
25475200.,73108.
25476000.,70945.
25476800.,70888.
25477600.,68191.
25478400.,66387.
25479200.,64218.
25480000.,64395.
25480800.,63450.
25481600.,63986.
25482400.,64085.
25483200.,65452.
25484000.,67867.
25484800.,71347.
25485600.,70883.
25486400.,72094.
25487200.,74732.
25488000.,75082.
25488800.,75319.
25489600.,74270.
25490400.,72887.
25491200.,71005.
25492000.,69432.
25492800.,66979.
25493600.,66311.
25494400.,64789.
25495200.,64095.
25496000.,63704.
25496800.,63969.
25497600.,65637.
25498400.,67225.
25499200.,67909.
25500000.,70439.
25500800.,72253.
25501600.,72207.
25502400.,74691.
25503200.,74989.
25504000.,74198.
25504800.,74227.
25505600.,72074.
25506400.,69611.
25507200.,69114.
25508000.,67168.
25508800.,64818.
25509600.,63519.
25510400.,63261.
25511200.,63807.
25512000.,64932.
25512800.,65282.
25513600.,66182.
25514400.,69688.
25515200.,69361.
25516000.,71697.
25516800.,73404.
25517600.,74659.
25518400.,74938.
25519200.,74250.
25520000.,72766.
25520800.,72798.
25521600.,69875.
25522400.,67322.
25523200.,66064.
25524000.,64851.
25524800.,64008.
25525600.,62818.
25526400.,64282.
25527200.,64695.
25528000.,66810.
25528800.,68562.
25529600.,68697.
25530400.,71851.
25531200.,74035.
25532000.,73477.
25532800.,74822.
25533600.,74405.
25534400.,72938.
25535200.,72614.
25536000.,68969.
25536800.,70459.
25537600.,67094.
25538400.,65614.
25539200.,64100.
25540000.,64104.
25460000.,72953.
25460800.,72711.
25461600.,71248.
25462400.,68179.
25463200.,69231.
25464000.,66326.
25464800.,63959.
25465600.,62772.
25466400.,62603.
25467200.,63460.
25468000.,66501.
25468800.,65677.
25469600.,67591.
25470400.,71622.
25471200.,71121.
25472000.,71656.
25472800.,73739.
25473600.,73375.
25474400.,73519.
25475200.,72708.
25476000.,71013.
25476800.,70312.
25477600.,68440.
25478400.,65621.
25479200.,63873.
25480000.,63876.
25480800.,62476.
25481600.,62865.
25482400.,63060.
25483200.,64481.
25484000.,66903.
25484800.,69202.
25485600.,68924.
25486400.,71636.
25487200.,73937.
25488000.,74005.
25488800.,74455.
25489600.,72664.
25490400.,71328.
25491200.,71125.
25492000.,67508.
25492800.,70511.
25493600.,62763.
25494400.,65158.
25495200.,63341.
25496000.,63640.
25496800.,64778.
25497600.,64998.
25498400.,65553.
25499200.,74160.
25500000.,65884.
25500800.,67620.
25501600.,66848.
25502400.,68395.
25503200.,64968.
25504000.,64240.
25504800.,69476.
25505600.,72002.
25506400.,67368.
25507200.,64714.
25508000.,75416.
25508800.,74947.
25509600.,73932.
25510400.,68623.
25511200.,69297.
25512000.,73514.
25512800.,67197.
25513600.,70782.
25514400.,72336.
25515200.,65004.
25516000.,63626.
25516800.,70189.
25517600.,63261.
25518400.,74436.
25519200.,63871.
25520000.,69280.
25520800.,64779.
25521600.,64721.
25522400.,69478.
25523200.,74532.
25524000.,63981.
25524800.,67169.
25525600.,74807.
25526400.,73464.
25527200.,69783.
25528000.,69286.
25528800.,66561.
25529600.,72491.
25530400.,71278.
25531200.,75857.
25532000.,64783.
25532800.,66463.
25533600.,63702.
25534400.,65907.
25535200.,64667.
25536000.,65412.
25536800.,70845.
25537600.,68920.
25538400.,64675.
25539200.,73332.
25540000.,76115.
25460000.,69894.
25460800.,65628.
25461600.,63832.
25462400.,73097.
25463200.,70744.
25464000.,64632.
25464800.,69407.
25465600.,65050.
25466400.,64153.
25467200.,64970.
25468000.,66799.
25468800.,66839.
25469600.,64987.
25470400.,69759.
25471200.,66286.
25472000.,73456.
25472800.,75562.
25473600.,73845.
25474400.,65626.
25475200.,65953.
25476000.,67025.
25476800.,67125.
25477600.,63500.
25478400.,75312.
25479200.,65598.
25480000.,69610.
25480800.,75612.
25481600.,68588.
25482400.,67803.
25483200.,65951.
25484000.,64183.
25484800.,75130.
25485600.,65197.
25486400.,65552.
25487200.,66138.
25488000.,75250.
25488800.,65533.
25489600.,75645.
25490400.,69335.
25491200.,67138.
25492000.,73060.
25492800.,65974.
25493600.,70636.
25494400.,74309.
25495200.,72472.
25496000.,65105.
25496800.,74611.
25497600.,64052.
25498400.,65625.
25499200.,67183.
25500000.,66006.
25500800.,71376.
25501600.,73050.
25502400.,73992.
25503200.,67268.
25504000.,73366.
25504800.,74949.
25505600.,67715.
25506400.,74612.
25507200.,74494.
25508000.,64723.
25508800.,75371.
25509600.,65069.
25510400.,66280.
25511200.,74419.
25512000.,65180.
25512800.,65000.
25513600.,72715.
25514400.,69181.
25515200.,71911.
25516000.,75188.
25516800.,65896.
25517600.,67321.
25518400.,74613.
25519200.,70533.
25520000.,71100.
25520800.,76511.
25521600.,67461.
25522400.,75462.
25523200.,66994.
25524000.,73261.
25524800.,64465.
25525600.,74521.
25526400.,75508.
25527200.,74883.
25528000.,72210.
25528800.,65038.
25529600.,70642.
25530400.,66126.
25531200.,70134.
25532000.,72634.
25532800.,72445.
25533600.,65472.
25534400.,75043.
25535200.,75097.
25536000.,71780.
25536800.,68175.
25537600.,68717.
25538400.,71006.
25539200.,72532.
25540000.,67988.
25460000.,69417.
25460800.,67456.
25461600.,74634.
25462400.,65726.
25463200.,75069.
25464000.,64362.
25464800.,65091.
25465600.,64907.
25466400.,66301.
25467200.,68619.
25468000.,68937.
25468800.,64946.
25469600.,72834.
25470400.,70885.
25471200.,71258.
25472000.,75499.
25472800.,75648.
25473600.,75898.
25474400.,75952.
25475200.,75235.
25476000.,72932.
25476800.,72658.
25477600.,71384.
25478400.,65022.
25479200.,65789.
25480000.,65510.
25480800.,64366.
25481600.,64565.
25482400.,64933.
25483200.,66175.
25484000.,69046.
25484800.,71498.
25485600.,71027.
25486400.,75333.
25487200.,74435.
25488000.,75050.
25488800.,64034.
25489600.,68545.
25490400.,74561.
25491200.,74432.
25492000.,68546.
25492800.,64567.
25493600.,72640.
25494400.,66490.
25495200.,66872.
25496000.,75047.
25496800.,70158.
25497600.,70680.
25498400.,73658.
25499200.,73437.
25500000.,70733.
25500800.,66284.
25501600.,75660.
25502400.,74342.
25503200.,76151.
25504000.,75430.
25504800.,76370.
25505600.,75864.
25506400.,69372.
25507200.,73459.
25508000.,67900.
25508800.,67113.
25509600.,66794.
25510400.,66070.
25511200.,66820.
25512000.,67550.
25512800.,67973.
25513600.,69901.
25514400.,72875.
25515200.,72953.
25516000.,77733.
25516800.,77413.
25517600.,77940.
25518400.,67351.
25519200.,73026.
25520000.,75615.
25520800.,66508.
25521600.,69898.
25522400.,74570.
25523200.,77466.
25524000.,76507.
25524800.,66720.
25525600.,70370.
25526400.,71661.
25527200.,67077.
25528000.,69104.
25528800.,69041.
25529600.,77097.
25530400.,68089.
25531200.,71243.
25532000.,70202.
25532800.,78019.
25533600.,68251.
25534400.,70066.
25535200.,70963.
25536000.,67934.
25536800.,77943.
25537600.,76364.
25538400.,75652.
25539200.,67743.
25540000.,78155.
25460000.,76527.
25460800.,77754.
25461600.,72568.
25462400.,75113.
25463200.,68410.
25464000.,69699.
25464800.,66809.
