x0000,y0000
25460000.,146942.
25460800.,142244.
25461600.,131085.
25462400.,123068.
25463200.,121018.
25464000.,112849.
25464800.,106558.
25465600.,102174.
25466400.,98963.
25467200.,97272.
25468000.,95649.
25468800.,97915.
25469600.,96729.
25470400.,98976.
25471200.,96817.
25472000.,93034.
25472800.,97578.
25473600.,94202.
25474400.,93955.
25475200.,91169.
25476000.,89584.
25476800.,80678.
25477600.,83154.
25478400.,79712.
25479200.,73937.
25480000.,73975.
25480800.,71237.
25481600.,72349.
25482400.,71151.
25483200.,70842.
25484000.,73180.
25484800.,80547.
25485600.,69825.
25486400.,80077.
25487200.,79030.
25488000.,79518.
25488800.,78695.
25489600.,76888.
25490400.,75229.
25491200.,75180.
25492000.,71103.
25492800.,70928.
25493600.,67210.
25494400.,66003.
25495200.,66437.
25496000.,66534.
25496800.,66200.
25497600.,65649.
25498400.,67328.
25499200.,68215.
25500000.,70834.
25500800.,72262.
25501600.,73100.
25502400.,74303.
25503200.,74489.
25504000.,73518.
25504800.,73530.
25505600.,72055.
25506400.,68399.
25507200.,70439.
25508000.,67414.
25508800.,64677.
25509600.,63091.
25510400.,62943.
25511200.,63322.
25512000.,63985.
25512800.,64129.
25513600.,66043.
25514400.,67935.
25515200.,68387.
25516000.,70820.
25516800.,72083.
25517600.,72155.
25518400.,72926.
25519200.,72323.
25520000.,70757.
25520800.,69847.
25521600.,68735.
25522400.,65180.
25523200.,63466.
25524000.,63750.
25524800.,62213.
25525600.,62153.
25526400.,61902.
25527200.,62698.
25528000.,65422.
25528800.,66984.
25529600.,68289.
25530400.,70706.
25531200.,72458.
25532000.,72400.
25532800.,73376.
25533600.,72633.
25534400.,71832.
25535200.,71400.
25536000.,68450.
25536800.,65987.
25537600.,66223.
25538400.,63482.
25539200.,61720.
25540000.,62493.
25460000.,71208.
25460800.,71090.
25461600.,70127.
25462400.,67273.
25463200.,66827.
25464000.,64185.
25464800.,62997.
25465600.,61951.
25466400.,63688.
25467200.,63732.
25468000.,66000.
25468800.,64683.
25469600.,67127.
25470400.,70137.
25471200.,69766.
25472000.,73007.
25472800.,74423.
25473600.,73881.
25474400.,73747.
25475200.,72102.
25476000.,70356.
25476800.,69547.
25477600.,67972.
25478400.,64660.
25479200.,62578.
25480000.,63040.
25480800.,62536.
25481600.,62300.
25482400.,62975.
25483200.,63880.
25484000.,66280.
25484800.,68031.
25485600.,69426.
25486400.,71138.
25487200.,72790.
25488000.,72408.
25488800.,73413.
25489600.,71691.
25490400.,69134.
25491200.,70282.
25492000.,67404.
25492800.,64328.
25493600.,64492.
25494400.,63032.
25495200.,62257.
25496000.,62225.
25496800.,62632.
25497600.,64116.
25498400.,65091.
25499200.,65865.
25500000.,68480.
25500800.,70609.
25501600.,69785.
25502400.,70771.
25503200.,72691.
25504000.,71612.
25504800.,71747.
25505600.,69563.
25506400.,67437.
25507200.,66309.
25508000.,64286.
25508800.,62648.
25509600.,61857.
25510400.,61262.
25511200.,62004.
25512000.,62524.
25512800.,62395.
25513600.,65331.
25514400.,67625.
25515200.,67548.
25516000.,70139.
25516800.,71526.
25517600.,72197.
25518400.,72068.
25519200.,71516.
25520000.,69992.
25520800.,70509.
25521600.,67624.
25522400.,65146.
25523200.,63648.
25524000.,62911.
25524800.,62253.
25525600.,62350.
25526400.,61555.
25527200.,62108.
25528000.,64607.
25528800.,67119.
25529600.,67709.
25530400.,69704.
25531200.,71294.
25532000.,71106.
25532800.,72718.
25533600.,72522.
25534400.,70621.
25535200.,70430.
25536000.,68362.
25536800.,66032.
25537600.,66285.
25538400.,63609.
25539200.,62974.
25540000.,62601.
25460000.,71171.
25460800.,70233.
25461600.,69029.
25462400.,66629.
25463200.,66258.
25464000.,64202.
25464800.,62724.
25465600.,61601.
25466400.,61610.
25467200.,62498.
25468000.,63935.
25468800.,64777.
25469600.,65961.
25470400.,68780.
25471200.,68775.
25472000.,70520.
25472800.,72608.
25473600.,72427.
25474400.,71636.
25475200.,70670.
25476000.,69016.
25476800.,68840.
25477600.,66220.
25478400.,63851.
25479200.,62423.
25480000.,61357.
25480800.,61702.
25481600.,61225.
25482400.,62058.
25483200.,63416.
25484000.,64694.
25484800.,66917.
25485600.,68022.
25486400.,70005.
25487200.,70608.
25488000.,70869.
25488800.,71707.
25489600.,71021.
25490400.,68704.
25491200.,69447.
25492000.,66964.
25492800.,63524.
25493600.,64000.
25494400.,61582.
25495200.,60389.
25496000.,60232.
25496800.,60518.
25497600.,62977.
25498400.,64772.
25499200.,64290.
25500000.,67195.
25500800.,69850.
25501600.,69794.
25502400.,71082.
25503200.,71833.
25504000.,70662.
25504800.,70458.
25505600.,68945.
25506400.,66573.
25507200.,66348.
25508000.,63831.
25508800.,61974.
25509600.,60117.
25510400.,61392.
25511200.,60520.
25512000.,62541.
25512800.,61571.
25513600.,63062.
25514400.,66407.
25515200.,66517.
25516000.,68842.
25516800.,70688.
25517600.,70894.
25518400.,71299.
25519200.,70434.
25520000.,69410.
25520800.,69988.
25521600.,67263.
25522400.,65063.
25523200.,62462.
25524000.,61913.
25524800.,61136.
25525600.,60640.
25526400.,61265.
25527200.,62121.
25528000.,64356.
25528800.,66767.
25529600.,66733.
25530400.,69220.
25531200.,71011.
25532000.,70680.
25532800.,71749.
25533600.,72333.
25534400.,70243.
25535200.,69370.
25536000.,68358.
25536800.,65410.
25537600.,64763.
25538400.,63006.
25539200.,61516.
25540000.,61483.
25460000.,69331.
25460800.,70044.
25461600.,67831.
25462400.,64978.
25463200.,65758.
25464000.,63732.
25464800.,61406.
25465600.,60792.
25466400.,61335.
25467200.,61430.
25468000.,64976.
25468800.,60705.
25469600.,68335.
25470400.,67155.
25471200.,67878.
25472000.,69807.
25472800.,71307.
25473600.,70839.
25474400.,71013.
25475200.,70349.
25476000.,67819.
25476800.,68574.
25477600.,65694.
25478400.,63662.
25479200.,61589.
25480000.,61982.
25480800.,61448.
25481600.,61197.
25482400.,61132.
25483200.,63118.
25484000.,62017.
25484800.,67503.
25485600.,66811.
25486400.,69956.
25487200.,71618.
25488000.,71540.
25488800.,70764.
25489600.,71520.
25490400.,70175.
25491200.,67288.
25492000.,70611.
25492800.,62381.
25493600.,64897.
25494400.,63161.
25495200.,61585.
25496000.,60610.
25496800.,61014.
25497600.,62727.
25498400.,63815.
25499200.,64125.
25500000.,66432.
25500800.,68940.
25501600.,69309.
25502400.,70831.
25503200.,71548.
25504000.,70903.
25504800.,71292.
25505600.,69300.
25506400.,66853.
25507200.,66937.
25508000.,64040.
25508800.,62407.
25509600.,60661.
25510400.,61035.
25511200.,61670.
25512000.,62741.
25512800.,62654.
25513600.,63688.
25514400.,67020.
25515200.,66277.
25516000.,69872.
25516800.,70334.
25517600.,72150.
25518400.,72073.
25519200.,71084.
25520000.,69225.
25520800.,70344.
25521600.,66995.
25522400.,64397.
25523200.,62452.
25524000.,62291.
25524800.,60973.
25525600.,60896.
25526400.,61570.
25527200.,62583.
25528000.,64202.
25528800.,67357.
25529600.,66371.
25530400.,68668.
25531200.,70847.
25532000.,71618.
25532800.,72185.
25533600.,71505.
25534400.,70009.
25535200.,70674.
25536000.,67181.
25536800.,65547.
25537600.,65596.
25538400.,64032.
25539200.,61877.
25540000.,61758.
25460000.,71115.
25460800.,71644.
25461600.,68306.
25462400.,66523.
25463200.,66888.
25464000.,64568.
25464800.,62879.
25465600.,61924.
25466400.,60963.
25467200.,62535.
25468000.,63406.
25468800.,64581.
25469600.,65788.
25470400.,69132.
25471200.,68486.
25472000.,71516.
25472800.,71816.
25473600.,72474.
25474400.,72145.
25475200.,71396.
25476000.,69438.
25476800.,68898.
25477600.,66255.
25478400.,63168.
25479200.,62433.
25480000.,61828.
25480800.,61766.
25481600.,61779.
25482400.,61997.
25483200.,62989.
25484000.,66410.
25484800.,68694.
25485600.,67859.
25486400.,70624.
25487200.,72444.
25488000.,72680.
25488800.,72101.
25489600.,71575.
25490400.,69425.
25491200.,69806.
25492000.,66903.
25492800.,64366.
25493600.,64713.
25494400.,63077.
25495200.,62162.
25496000.,62491.
25496800.,62807.
25497600.,62945.
25498400.,66424.
25499200.,65331.
25500000.,69266.
25500800.,69811.
25501600.,70604.
25502400.,72573.
25503200.,72656.
25504000.,71962.
25504800.,72609.
25505600.,71111.
25506400.,68128.
25507200.,67687.
25508000.,64727.
25508800.,63488.
25509600.,61572.
25510400.,61871.
25511200.,62871.
25512000.,62727.
25512800.,63324.
25513600.,65249.
25514400.,67728.
25515200.,67928.
25516000.,70191.
25516800.,72297.
25517600.,72207.
25518400.,72776.
25519200.,72233.
25520000.,70510.
25520800.,70318.
25521600.,69013.
25522400.,65639.
25523200.,63331.
25524000.,62697.
25524800.,61921.
25525600.,61308.
25526400.,62146.
25527200.,63007.
25528000.,64931.
25528800.,66470.
25529600.,67686.
25530400.,69469.
25531200.,71797.
25532000.,72127.
25532800.,72510.
25533600.,72092.
25534400.,70129.
25535200.,70675.
25536000.,67717.
25536800.,65879.
25537600.,65797.
25538400.,63743.
25539200.,61848.
25540000.,61871.
25460000.,70877.
25460800.,70527.
25461600.,69172.
25462400.,65919.
25463200.,65410.
25464000.,63876.
25464800.,62461.
25465600.,61560.
25466400.,60886.
25467200.,62277.
25468000.,63450.
25468800.,64040.
25469600.,65858.
25470400.,69006.
25471200.,68859.
25472000.,70590.
25472800.,71664.
25473600.,72650.
25474400.,72185.
25475200.,69864.
25476000.,67961.
25476800.,68390.
25477600.,65602.
25478400.,62844.
25479200.,61735.
25480000.,60994.
25480800.,60765.
25481600.,61882.
25482400.,61931.
25483200.,62578.
25484000.,64836.
25484800.,66983.
25485600.,67478.
25486400.,69798.
25487200.,70584.
25488000.,71504.
25488800.,71772.
25489600.,70327.
25490400.,69143.
25491200.,69418.
25492000.,66246.
25492800.,63853.
25493600.,63538.
25494400.,62117.
25495200.,61120.
25496000.,60667.
25496800.,61283.
25497600.,62907.
25498400.,65497.
25499200.,64067.
25500000.,66712.
25500800.,69423.
25501600.,69598.
25502400.,70407.
25503200.,71004.
25504000.,70813.
25504800.,70465.
25505600.,68447.
25506400.,66600.
25507200.,66636.
25508000.,63655.
25508800.,62411.
25509600.,60543.
25510400.,61200.
25511200.,61496.
25512000.,62828.
25512800.,62548.
25513600.,64215.
25514400.,67127.
25515200.,66896.
25516000.,70020.
25516800.,70909.
25517600.,71837.
25518400.,71443.
25519200.,70412.
25520000.,69868.
25520800.,70279.
25521600.,67346.
25522400.,64482.
25523200.,62265.
25524000.,63443.
25524800.,61903.
25525600.,61675.
25526400.,61379.
25527200.,62990.
25528000.,64944.
25528800.,67502.
25529600.,65961.
25530400.,70111.
25531200.,71268.
25532000.,70797.
25532800.,71547.
25533600.,71359.
25534400.,70275.
25535200.,70070.
25536000.,68052.
25536800.,64742.
25537600.,64958.
25538400.,62738.
25539200.,62956.
25540000.,61586.
25460000.,70309.
25460800.,70583.
25461600.,68401.
25462400.,65715.
25463200.,65773.
25464000.,63714.
25464800.,60981.
25465600.,60976.
