x0000,y0000
25460000.,142671.
25460800.,137996.
25461600.,128886.
25462400.,120458.
25463200.,115980.
25464000.,108620.
25464800.,102305.
25465600.,99794.
25466400.,97777.
25467200.,94268.
25468000.,95694.
25468800.,94893.
25469600.,95796.
25470400.,95428.
25471200.,94301.
25472000.,95784.
25472800.,96142.
25473600.,94072.
25474400.,92023.
25475200.,88834.
25476000.,85288.
25476800.,85181.
25477600.,81044.
25478400.,76626.
25479200.,73459.
25480000.,72792.
25480800.,71045.
25481600.,70508.
25482400.,70914.
25483200.,71726.
25484000.,73558.
25484800.,76676.
25485600.,75650.
25486400.,77429.
25487200.,79065.
25488000.,77751.
25488800.,77242.
25489600.,75942.
25490400.,73927.
25491200.,73597.
25492000.,70248.
25492800.,67328.
25493600.,66646.
25494400.,64587.
25495200.,63703.
25496000.,63791.
25496800.,62452.
25497600.,64156.
25498400.,66367.
25499200.,66860.
25500000.,69388.
25500800.,70852.
25501600.,71637.
25502400.,72583.
25503200.,72393.
25504000.,71714.
25504800.,70976.
25505600.,69716.
25506400.,67033.
25507200.,67088.
25508000.,65482.
25508800.,63132.
25509600.,61896.
25510400.,61787.
25511200.,62056.
25512000.,62518.
25512800.,62330.
25513600.,64870.
25514400.,68145.
25515200.,67943.
25516000.,69342.
25516800.,71378.
25517600.,71503.
25518400.,72034.
25519200.,71321.
25520000.,70006.
25520800.,70142.
25521600.,67459.
25522400.,64236.
25523200.,62576.
25524000.,62428.
25524800.,61334.
25525600.,60619.
25526400.,62415.
25527200.,62793.
25528000.,64169.
25528800.,68072.
25529600.,66744.
25530400.,69133.
25531200.,69796.
25532000.,69983.
25532800.,71052.
25533600.,71061.
25534400.,69816.
25535200.,69962.
25536000.,67372.
25536800.,63938.
25537600.,64402.
25538400.,63342.
25539200.,61586.
25540000.,60934.
25460000.,70345.
25460800.,69335.
25461600.,67574.
25462400.,66067.
25463200.,65808.
25464000.,62881.
25464800.,62437.
25465600.,60601.
25466400.,61402.
25467200.,61022.
25468000.,62930.
25468800.,63861.
25469600.,65583.
25470400.,69574.
25471200.,68441.
25472000.,70940.
25472800.,73307.
25473600.,71070.
25474400.,72302.
25475200.,69681.
25476000.,68340.
25476800.,67834.
25477600.,65405.
25478400.,62911.
25479200.,61331.
25480000.,61273.
25480800.,60438.
25481600.,60730.
25482400.,60692.
25483200.,62505.
25484000.,64888.
25484800.,68297.
25485600.,67475.
25486400.,69616.
25487200.,71085.
25488000.,71692.
25488800.,70883.
25489600.,70479.
25490400.,68356.
25491200.,68591.
25492000.,65411.
25492800.,64965.
25493600.,64043.
25494400.,62039.
25495200.,61156.
25496000.,61022.
25496800.,60804.
25497600.,62777.
25498400.,64130.
25499200.,64722.
25500000.,65922.
25500800.,69220.
25501600.,70492.
25502400.,70655.
25503200.,71323.
25504000.,70392.
25504800.,71541.
25505600.,67797.
25506400.,66356.
25507200.,65958.
25508000.,63184.
25508800.,61998.
25509600.,60229.
25510400.,60261.
25511200.,60391.
25512000.,61536.
25512800.,61865.
25513600.,63820.
25514400.,65852.
25515200.,66699.
25516000.,68740.
25516800.,71019.
25517600.,70492.
25518400.,71191.
25519200.,70117.
25520000.,69233.
25520800.,68377.
25521600.,66578.
25522400.,63635.
25523200.,61898.
25524000.,61322.
25524800.,59792.
25525600.,60663.
25526400.,61676.
25527200.,60629.
25528000.,63913.
25528800.,65330.
25529600.,66083.
25530400.,68272.
25531200.,70891.
25532000.,70999.
25532800.,71359.
25533600.,70632.
25534400.,69485.
25535200.,68381.
25536000.,66826.
25536800.,64022.
25537600.,63978.
25538400.,62455.
25539200.,60218.
25540000.,61028.
25460000.,69225.
25460800.,68999.
25461600.,67972.
25462400.,65377.
25463200.,64435.
25464000.,62554.
25464800.,61094.
25465600.,60805.
25466400.,60612.
25467200.,61020.
25468000.,62918.
25468800.,63487.
25469600.,65091.
25470400.,68223.
25471200.,68649.
25472000.,70407.
25472800.,70272.
25473600.,70903.
25474400.,69942.
25475200.,68736.
25476000.,67537.
25476800.,67303.
25477600.,65764.
25478400.,63728.
25479200.,61366.
25480000.,61825.
25480800.,60545.
25481600.,61145.
25482400.,61318.
25483200.,62655.
25484000.,65682.
25484800.,68275.
25485600.,68911.
25486400.,70440.
25487200.,70699.
25488000.,70815.
25488800.,71281.
25489600.,70558.
25490400.,68424.
25491200.,69046.
25492000.,65326.
25492800.,63761.
25493600.,62826.
25494400.,61552.
25495200.,60539.
25496000.,60178.
25496800.,61003.
25497600.,62592.
25498400.,64380.
25499200.,63875.
25500000.,67089.
25500800.,69777.
25501600.,69824.
25502400.,70971.
25503200.,71681.
25504000.,70438.
25504800.,70056.
25505600.,69702.
25506400.,66564.
25507200.,66645.
25508000.,64318.
25508800.,61990.
25509600.,61475.
25510400.,61120.
25511200.,61801.
25512000.,62842.
25512800.,62539.
25513600.,65242.
25514400.,67596.
25515200.,67106.
25516000.,70262.
25516800.,71211.
25517600.,72124.
25518400.,71290.
25519200.,70566.
25520000.,69879.
25520800.,69534.
25521600.,66901.
25522400.,64016.
25523200.,62854.
25524000.,61812.
25524800.,60866.
25525600.,60782.
25526400.,60649.
25527200.,62254.
25528000.,64627.
25528800.,65404.
25529600.,66828.
25530400.,68523.
25531200.,70294.
25532000.,70572.
25532800.,71332.
25533600.,70954.
25534400.,69843.
25535200.,70382.
25536000.,67286.
25536800.,64721.
25537600.,65199.
25538400.,62630.
25539200.,61369.
25540000.,61364.
25460000.,69553.
25460800.,70144.
25461600.,67756.
25462400.,64037.
25463200.,65257.
25464000.,62787.
25464800.,60728.
25465600.,60859.
25466400.,59986.
25467200.,60838.
25468000.,63502.
25468800.,62512.
25469600.,65914.
25470400.,69070.
25471200.,68778.
25472000.,70517.
25472800.,71294.
25473600.,71042.
25474400.,71715.
25475200.,68821.
25476000.,67928.
25476800.,68566.
25477600.,65897.
25478400.,62510.
25479200.,61051.
25480000.,62074.
25480800.,60376.
25481600.,60785.
25482400.,61513.
25483200.,63094.
25484000.,66383.
25484800.,67582.
25485600.,67940.
25486400.,70279.
25487200.,71643.
25488000.,70938.
25488800.,71548.
25489600.,70597.
25490400.,67781.
25491200.,68040.
25492000.,66493.
25492800.,63867.
25493600.,63868.
25494400.,61396.
25495200.,61152.
25496000.,60246.
25496800.,59897.
25497600.,63002.
25498400.,65092.
25499200.,65505.
25500000.,66713.
25500800.,70643.
25501600.,68980.
25502400.,70653.
25503200.,71354.
25504000.,71272.
25504800.,70313.
25505600.,69551.
25506400.,66961.
25507200.,67082.
25508000.,63799.
25508800.,61444.
25509600.,60789.
25510400.,61859.
25511200.,61982.
25512000.,61573.
25512800.,62645.
25513600.,64775.
25514400.,66880.
25515200.,67367.
25516000.,69833.
25516800.,71347.
25517600.,71667.
25518400.,71691.
25519200.,70932.
25520000.,69441.
25520800.,69934.
25521600.,67355.
25522400.,64367.
25523200.,62594.
25524000.,62700.
25524800.,61767.
25525600.,61301.
25526400.,62530.
25527200.,63431.
25528000.,65545.
25528800.,68172.
25529600.,67666.
25530400.,69438.
25531200.,71446.
25532000.,71625.
25532800.,72980.
25533600.,72281.
25534400.,70281.
25535200.,69406.
25536000.,68723.
25536800.,65567.
25537600.,65791.
25538400.,63606.
25539200.,62368.
25540000.,61497.
25460000.,71364.
25460800.,71697.
25461600.,69374.
25462400.,66304.
25463200.,66854.
25464000.,64730.
25464800.,62249.
25465600.,61865.
25466400.,61298.
25467200.,61422.
25468000.,62814.
25468800.,63523.
25469600.,66597.
25470400.,68483.
25471200.,70070.
25472000.,70748.
25472800.,72522.
25473600.,72972.
25474400.,72422.
25475200.,71639.
25476000.,71123.
25476800.,68826.
25477600.,67428.
25478400.,63426.
25479200.,63845.
25480000.,62532.
25480800.,60846.
25481600.,61871.
25482400.,62107.
25483200.,65534.
25484000.,66562.
25484800.,69214.
25485600.,68427.
25486400.,70386.
25487200.,72105.
25488000.,72212.
25488800.,72493.
25489600.,70970.
25490400.,69469.
25491200.,69449.
25492000.,67429.
25492800.,63831.
25493600.,65141.
25494400.,62934.
25495200.,62018.
25496000.,61954.
25496800.,62278.
25497600.,63236.
25498400.,65158.
25499200.,65523.
25500000.,67095.
25500800.,71893.
25501600.,67935.
25502400.,71659.
25503200.,72219.
25504000.,70895.
25504800.,71751.
25505600.,70289.
25506400.,68278.
25507200.,68412.
25508000.,65080.
25508800.,62011.
25509600.,61672.
25510400.,62100.
25511200.,62440.
25512000.,62402.
25512800.,63366.
25513600.,65175.
25514400.,68317.
25515200.,66453.
25516000.,69608.
25516800.,72316.
25517600.,72606.
25518400.,72672.
