x0000,y0000
25491000.,71172.
25491200.,72259.
25491400.,73004.
25491600.,72417.
25491800.,70542.
25492000.,72628.
25492200.,71371.
25492400.,71118.
25492600.,72182.
25492800.,67099.
25493000.,71657.
25493200.,65594.
25493400.,72030.
25493600.,65632.
25493800.,68595.
25494000.,65117.
25494200.,67213.
25494400.,66067.
25494600.,63594.
25494800.,68014.
25495000.,63521.
25495200.,66390.
25495400.,63142.
25495600.,64741.
25495800.,64273.
25496000.,64306.
25496200.,63392.
25496400.,62927.
25496600.,62961.
25496800.,63951.
25497000.,63657.
25497200.,66120.
25497400.,64754.
25497600.,68302.
25497800.,63748.
25498000.,67252.
25498200.,65632.
25498400.,67349.
25498600.,67519.
25498800.,68636.
25499000.,70851.
25499200.,68361.
25499400.,71206.
25499600.,70072.
25499800.,71287.
25500000.,71599.
25500200.,70380.
25500400.,72714.
25500600.,72109.
25500800.,71247.
25501000.,71670.
25501200.,69513.
25501400.,72202.
25501600.,69473.
25501800.,72550.
25502000.,63310.
25502200.,70733.
25502400.,68218.
25502600.,71907.
25502800.,68616.
25503000.,69522.
25503200.,67599.
25503400.,69115.
25503600.,66130.
25503800.,67586.
25504000.,64621.
25504200.,67258.
25504400.,63405.
25504600.,65371.
25504800.,64552.
25505000.,65214.
25505200.,64413.
25505400.,65754.
25505600.,64684.
25505800.,65427.
25506000.,67167.
25506200.,64258.
25506400.,69374.
25506600.,64451.
25506800.,68730.
25507000.,66797.
25507200.,69767.
25507400.,66508.
25507600.,74486.
25507800.,67372.
25508000.,72645.
25508200.,65619.
25508400.,73654.
25508600.,69625.
25508800.,73060.
25509000.,72809.
25509200.,73399.
25509400.,74704.
25509600.,71877.
25509800.,73495.
25510000.,72156.
25510200.,73666.
25510400.,73234.
25510600.,72944.
25510800.,75011.
25511000.,74074.
25491000.,74634.
25491200.,71483.
25491400.,74583.
25491600.,74560.
25491800.,73518.
25492000.,73932.
25492200.,75373.
25492400.,69637.
25492600.,73841.
25492800.,69066.
25493000.,73862.
25493200.,72826.
25493400.,68967.
25493600.,72928.
25493800.,66151.
25494000.,73428.
25494200.,64872.
25494400.,68294.
25494600.,65203.
25494800.,65481.
25495000.,65788.
25495200.,64587.
25495400.,68166.
25495600.,65049.
25495800.,66334.
25496000.,65568.
25496200.,64978.
25496400.,65798.
25496600.,67808.
25496800.,64629.
25497000.,69887.
25497200.,65299.
25497400.,69807.
25497600.,69648.
25497800.,66413.
25498000.,72969.
25498200.,67196.
25498400.,69191.
25498600.,74724.
25498800.,69936.
25499000.,71504.
25499200.,75932.
25499400.,74853.
25499600.,70671.
25499800.,74782.
25500000.,75872.
25500200.,72620.
25500400.,74594.
25500600.,74939.
25500800.,74407.
25501000.,74500.
25501200.,72061.
25501400.,74711.
25501600.,74392.
25501800.,70812.
25502000.,72848.
25502200.,74794.
25502400.,69252.
25502600.,70230.
25502800.,75006.
25503000.,69822.
25503200.,67698.
25503400.,73432.
25503600.,69978.
25503800.,66278.
25504000.,71668.
25504200.,67880.
25504400.,65676.
25504600.,68231.
25504800.,67075.
25505000.,66419.
25505200.,67426.
25505400.,65919.
25505600.,66924.
25505800.,65942.
25506000.,66543.
25506200.,69651.
25506400.,68626.
25506600.,65686.
25506800.,68805.
25507000.,73033.
25507200.,66245.
25507400.,68735.
25507600.,74595.
25507800.,69559.
25508000.,69129.
25508200.,75588.
25508400.,73587.
25508600.,69868.
25508800.,76307.
25509000.,77316.
25509200.,71498.
25509400.,75864.
25509600.,76170.
25509800.,74401.
25510000.,76125.
25510200.,75709.
25510400.,76595.
25510600.,76577.
25510800.,73901.
25511000.,76182.
25491000.,74961.
25491200.,74679.
25491400.,76688.
25491600.,76191.
25491800.,74968.
25492000.,74706.
25492200.,76552.
25492400.,74844.
25492600.,70508.
25492800.,76430.
25493000.,75459.
25493200.,69950.
25493400.,73354.
25493600.,74185.
25493800.,66957.
25494000.,69863.
25494200.,73651.
25494400.,66566.
25494600.,67254.
25494800.,71189.
25495000.,67052.
25495200.,66579.
25495400.,69780.
25495600.,67235.
25495800.,67915.
25496000.,67048.
25496200.,67277.
25496400.,68375.
25496600.,68771.
25496800.,66502.
25497000.,67882.
25497200.,72655.
25497400.,67439.
25497600.,67014.
25497800.,72948.
25498000.,71839.
25498200.,67054.
25498400.,73823.
25498600.,75892.
25498800.,70497.
25499000.,71896.
25499200.,76975.
25499400.,73961.
25499600.,73713.
25499800.,76712.
25500000.,76947.
25500200.,74247.
25500400.,76919.
25500600.,75243.
25500800.,76027.
25501000.,76017.
25501200.,73371.
25501400.,75331.
25501600.,76176.
25501800.,73149.
25502000.,70685.
25502200.,75669.
25502400.,75397.
25502600.,68882.
25502800.,69512.
25503000.,74956.
25503200.,70108.
25503400.,66964.
25503600.,73072.
25503800.,70819.
25504000.,66015.
25504200.,66614.
25504400.,70090.
25504600.,66174.
25504800.,66698.
25505000.,68761.
25505200.,66671.
25505400.,66645.
25505600.,66135.
25505800.,66800.
25506000.,66728.
25506200.,68425.
25506400.,66207.
25506600.,65850.
25506800.,71415.
25507000.,69392.
25507200.,67157.
25507400.,70433.
25507600.,74846.
25507800.,69791.
25508000.,69211.
25508200.,75153.
25508400.,73323.
25508600.,68193.
25508800.,74910.
25509000.,76417.
25509200.,72575.
25509400.,74764.
25509600.,77254.
25509800.,75517.
25510000.,74763.
25510200.,75822.
25510400.,72679.
25510600.,76537.
25510800.,76525.
25511000.,74096.
25491000.,74118.
25491200.,75800.
25491400.,73661.
25491600.,76454.
25491800.,76705.
25492000.,75978.
25492200.,72540.
25492400.,77598.
25492600.,77982.
25492800.,71951.
25493000.,71548.
25493200.,76571.
25493400.,73271.
25493600.,68635.
25493800.,71527.
25494000.,73944.
25494200.,69168.
25494400.,66345.
25494600.,70244.
25494800.,70333.
25495000.,65966.
25495200.,66183.
25495400.,70213.
25495600.,66417.
25495800.,68204.
25496000.,67223.
25496200.,67296.
25496400.,70456.
25496600.,67826.
25496800.,66438.
25497000.,66471.
25497200.,71845.
25497400.,68133.
25497600.,66805.
25497800.,70683.
25498000.,74296.
25498200.,66885.
25498400.,69934.
25498600.,74424.
25498800.,74044.
25499000.,70141.
25499200.,72117.
25499400.,76871.
25499600.,75568.
25499800.,72145.
25500000.,77328.
25500200.,76814.
25500400.,76320.
25500600.,76097.
25500800.,77057.
25501000.,75817.
25501200.,76185.
25501400.,77615.
25501600.,73653.
25501800.,75320.
25502000.,77534.
25502200.,75007.
25502400.,70926.
25502600.,74525.
25502800.,75613.
25503000.,70872.
25503200.,67951.
25503400.,74027.
25503600.,73635.
25503800.,68113.
25504000.,67030.
25504200.,71630.
25504400.,71088.
25504600.,66518.
25504800.,67857.
25505000.,70032.
25505200.,67603.
25505400.,67911.
25505600.,67024.
25505800.,68213.
25506000.,68527.
25506200.,69269.
25506400.,66828.
25506600.,67333.
25506800.,72489.
25507000.,68592.
25507200.,66707.
25507400.,72258.
25507600.,74177.
25507800.,68793.
25508000.,70557.
25508200.,76615.
25508400.,73063.
25508600.,71095.
25508800.,76742.
25509000.,76468.
25509200.,72889.
25509400.,76480.
25509600.,76725.
25509800.,75217.
25510000.,75283.
25510200.,75619.
25510400.,77281.
25510600.,76463.
25510800.,75478.
25511000.,75087.
25491000.,74673.
25491200.,76101.
25491400.,75601.
25491600.,76687.
25491800.,75544.
25492000.,75009.
25492200.,73348.
25492400.,76133.
25492600.,76289.
25492800.,69169.
25493000.,71522.
25493200.,75631.
25493400.,72750.
25493600.,66784.
25493800.,72231.
25494000.,75497.
25494200.,68198.
25494400.,68455.
25494600.,71421.
25494800.,68251.
25495000.,66524.
25495200.,67140.
25495400.,70253.
25495600.,66647.
25495800.,67520.
25496000.,66476.
25496200.,67098.
25496400.,66939.
25496600.,68226.
25496800.,66016.
25497000.,67674.
25497200.,71734.
25497400.,71000.
25497600.,67457.
25497800.,69428.
25498000.,75392.
25498200.,70917.
25498400.,68466.
25498600.,74673.
25498800.,76806.
25499000.,71874.
25499200.,73496.
25499400.,78301.
25499600.,77467.
25499800.,73467.
25500000.,77655.
25500200.,77839.
25500400.,76512.
25500600.,78270.
25500800.,77150.
25501000.,78002.
25501200.,76996.
25501400.,76698.
25501600.,74973.
25501800.,77857.
25502000.,77985.
25502200.,71049.
25502400.,75164.
25502600.,76908.
25502800.,72041.
25503000.,69779.
25503200.,75803.
25503400.,73183.
25503600.,68364.
25503800.,70305.
25504000.,73598.
25504200.,67687.
25504400.,67265.
25504600.,68448.
25504800.,69718.
25505000.,67028.
25505200.,67828.
25505400.,67551.
25505600.,67201.
25505800.,69213.
25506000.,67686.
25506200.,68205.
25506400.,67732.
25506600.,71498.
25506800.,68719.
25507000.,67805.
25507200.,71713.
25507400.,74897.
25507600.,71366.
25507800.,69544.
25508000.,75724.
25508200.,76205.
25508400.,76814.
25508600.,75270.
25508800.,78197.
25509000.,77910.
25509200.,73507.
25509400.,75831.
25509600.,77957.
25509800.,77753.
25510000.,74116.
25510200.,78520.
25510400.,76276.
25510600.,78102.
25510800.,77428.
25511000.,76880.
25491000.,76996.
25491200.,77309.
25491400.,76386.
25491600.,75532.
25491800.,76023.
25492000.,77181.
25492200.,76899.
25492400.,73762.
25492600.,74472.
25492800.,77612.
25493000.,75075.
25493200.,69667.
25493400.,71854.
25493600.,75041.
25493800.,71528.
25494000.,67413.
25494200.,71950.
25494400.,74143.
25494600.,68487.
25494800.,67062.
25495000.,70141.
25495200.,69927.
25495400.,68245.
25495600.,67541.
25495800.,68197.
25496000.,68613.
25496200.,69096.
25496400.,68985.
25496600.,67477.
25496800.,68252.
25497000.,71796.
25497200.,69562.
25497400.,67510.
25497600.,71613.
25497800.,76023.
25498000.,70865.
25498200.,68782.
25498400.,75727.
25498600.,76325.
25498800.,70928.
25499000.,72032.
25499200.,77930.
