x0000,y0000
25480000.,69039.
25481000.,68169.
25482000.,67539.
25483000.,70153.
25484000.,73924.
25485000.,75828.
25486000.,79139.
25487000.,78632.
25488000.,79909.
25489000.,79732.
25490000.,77787.
25491000.,75798.
25492000.,78742.
25493000.,74597.
25494000.,71877.
25495000.,69853.
25496000.,68395.
25497000.,68971.
25498000.,69873.
25499000.,73654.
25500000.,76689.
25501000.,77860.
25502000.,80078.
25503000.,80679.
25504000.,80601.
25505000.,79016.
25506000.,77511.
25507000.,74710.
25508000.,70765.
25509000.,69173.
25510000.,69358.
25511000.,68579.
25512000.,70003.
25513000.,71930.
25514000.,73404.
25515000.,69207.
25516000.,78589.
25517000.,77239.
25518000.,72596.
25519000.,80335.
25520000.,76763.
25480000.,70661.
25481000.,69396.
25482000.,77274.
25483000.,66702.
25484000.,69920.
25485000.,71921.
25486000.,78857.
25487000.,78384.
25488000.,76551.
25489000.,77198.
25490000.,78945.
25491000.,69308.
25492000.,72046.
25493000.,74398.
25494000.,67420.
25495000.,66839.
25496000.,69041.
25497000.,72738.
25498000.,73176.
25499000.,74324.
25500000.,72275.
25501000.,72863.
25502000.,79077.
25503000.,74980.
25504000.,79036.
25505000.,78800.
25506000.,68124.
25507000.,72262.
25508000.,72943.
25509000.,67695.
25510000.,67342.
25511000.,66740.
25512000.,69118.
25513000.,69390.
25514000.,70075.
25515000.,68547.
25516000.,72306.
25517000.,73257.
25518000.,78899.
25519000.,77730.
25520000.,79394.
25480000.,73030.
25481000.,67078.
25482000.,67243.
25483000.,66830.
25484000.,72890.
25485000.,68572.
25486000.,79508.
25487000.,75996.
25488000.,72525.
25489000.,77317.
25490000.,77763.
25491000.,77962.
25492000.,76845.
25493000.,67215.
25494000.,67581.
25495000.,70072.
25496000.,67715.
25497000.,67798.
25498000.,67315.
25499000.,68236.
25500000.,70162.
25501000.,79738.
25502000.,79251.
25503000.,78434.
25504000.,74077.
25505000.,79347.
25506000.,79523.
25507000.,76972.
25508000.,72959.
25509000.,67788.
25510000.,68187.
25511000.,69136.
25512000.,68914.
25513000.,68939.
25514000.,69802.
25515000.,75966.
25516000.,79678.
25517000.,75223.
25518000.,78800.
25519000.,77841.
25520000.,76355.
25480000.,70391.
25481000.,75238.
25482000.,67757.
25483000.,68367.
25484000.,69093.
25485000.,76825.
25486000.,76805.
25487000.,79160.
25488000.,78104.
25489000.,81279.
25490000.,78951.
25491000.,78909.
25492000.,72865.
25493000.,73486.
25494000.,69422.
25495000.,69079.
25496000.,67896.
25497000.,75381.
25498000.,68652.
25499000.,70716.
25500000.,70568.
25501000.,80027.
25502000.,80663.
25503000.,78557.
25504000.,79592.
25505000.,81228.
25506000.,79391.
25507000.,69021.
25508000.,69043.
25509000.,74202.
25510000.,68646.
25511000.,71328.
25512000.,69488.
25513000.,75004.
25514000.,69820.
25515000.,71307.
25516000.,80168.
25517000.,77658.
25518000.,78254.
25519000.,78256.
25520000.,68867.
25480000.,73238.
25481000.,68615.
25482000.,69721.
25483000.,79275.
25484000.,69156.
25485000.,68729.
25486000.,77920.
25487000.,77983.
25488000.,79726.
25489000.,80348.
25490000.,77694.
25491000.,77059.
25492000.,74539.
25493000.,72304.
25494000.,69199.
25495000.,79778.
25496000.,70089.
25497000.,69653.
25498000.,77065.
25499000.,78423.
25500000.,78933.
25501000.,79876.
25502000.,78686.
25503000.,79846.
25504000.,74777.
25505000.,76362.
25506000.,70264.
25507000.,76733.
25508000.,75990.
25509000.,68720.
25510000.,67628.
25511000.,71957.
25512000.,68773.
25513000.,70115.
25514000.,70794.
25515000.,79416.
25516000.,75761.
25517000.,70803.
25518000.,71887.
25519000.,80113.
25520000.,78688.
25480000.,70142.
25481000.,69580.
25482000.,70051.
25483000.,68363.
25484000.,73973.
25485000.,75993.
25486000.,75484.
25487000.,74506.
25488000.,78396.
25489000.,79841.
25490000.,80632.
25491000.,80026.
25492000.,80144.
25493000.,76432.
25494000.,72232.
25495000.,77039.
25496000.,72030.
25497000.,68070.
25498000.,70279.
25499000.,71176.
25500000.,68503.
25501000.,77208.
25502000.,79492.
25503000.,78889.
25504000.,79067.
25505000.,77575.
25506000.,77865.
25507000.,75193.
25508000.,72756.
25509000.,71667.
25510000.,81883.
25511000.,71581.
25512000.,69629.
25513000.,69983.
25514000.,69513.
25515000.,79745.
25516000.,81897.
25517000.,79548.
25518000.,75957.
25519000.,78510.
25520000.,82250.
25480000.,80891.
25481000.,70733.
25482000.,74405.
25483000.,81651.
25484000.,72521.
25485000.,72567.
25486000.,73384.
25487000.,79703.
25488000.,79991.
25489000.,78990.
25490000.,74185.
25491000.,80628.
25492000.,78813.
25493000.,72074.
25494000.,73877.
25495000.,70716.
25496000.,72404.
25497000.,69241.
25498000.,81108.
25499000.,72787.
25500000.,77193.
25501000.,81139.
25502000.,71250.
25503000.,72416.
25504000.,81023.
25505000.,80342.
25506000.,79515.
25507000.,76589.
25508000.,72392.
25509000.,70704.
25510000.,70326.
25511000.,70954.
25512000.,69664.
25513000.,68660.
25514000.,73787.
25515000.,72749.
25516000.,81319.
25517000.,77736.
25518000.,79392.
25519000.,82540.
25520000.,74908.
25480000.,69355.
25481000.,71428.
25482000.,76485.
25483000.,69891.
25484000.,71509.
25485000.,74908.
25486000.,77558.
25487000.,80645.
25488000.,81224.
25489000.,82239.
25490000.,80485.
25491000.,81739.
25492000.,78486.
25493000.,78203.
25494000.,74216.
25495000.,82211.
25496000.,71115.
25497000.,71381.
25498000.,78378.
25499000.,80841.
25500000.,72179.
25501000.,74615.
25502000.,77519.
25503000.,79832.
25504000.,74530.
25505000.,74746.
25506000.,80702.
25507000.,74180.
25508000.,69939.
25509000.,70366.
25510000.,69786.
25511000.,70739.
25512000.,71232.
25513000.,76457.
25514000.,77148.
25515000.,72612.
25516000.,73890.
25517000.,81949.
25518000.,71783.
25519000.,72137.
25520000.,74996.
25480000.,72820.
25481000.,70013.
25482000.,70663.
25483000.,80023.
25484000.,69346.
25485000.,80580.
25486000.,70616.
25487000.,75153.
25488000.,72399.
25489000.,81034.
25490000.,75268.
25491000.,80102.
25492000.,81136.
25493000.,81161.
25494000.,70688.
25495000.,72374.
25496000.,74619.
25497000.,71639.
25498000.,72362.
25499000.,70248.
25500000.,75998.
25501000.,80994.
25502000.,75058.
25503000.,82744.
25504000.,81879.
25505000.,70855.
25506000.,75760.
25507000.,78530.
25508000.,70311.
25509000.,79492.
25510000.,82268.
25511000.,80327.
25512000.,70392.
25513000.,78822.
25514000.,69555.
25515000.,82159.
25516000.,73179.
25517000.,81734.
25518000.,76680.
25519000.,81497.
25520000.,70086.
25480000.,80539.
25481000.,68245.
25482000.,71684.
25483000.,75269.
25484000.,70934.
25485000.,70598.
25486000.,72371.
25487000.,75578.
25488000.,71962.
25489000.,80615.
25490000.,79044.
25491000.,80921.
25492000.,79244.
25493000.,69752.
25494000.,79218.
25495000.,73437.
25496000.,73075.
25497000.,70581.
25498000.,79974.
25499000.,70567.
25500000.,83043.
25501000.,78850.
25502000.,79640.
25503000.,72362.
25504000.,78179.
25505000.,72172.
25506000.,81883.
25507000.,72722.
25508000.,71972.
25509000.,73939.
25510000.,69815.
25511000.,70565.
25512000.,71264.
25513000.,77466.
25514000.,71891.
25515000.,79304.
25516000.,72933.
25517000.,77116.
25518000.,71972.
25519000.,75236.
25520000.,76558.
25480000.,69591.
25481000.,77259.
25482000.,81874.
25483000.,69839.
25484000.,71232.
25485000.,79984.
25486000.,71608.
25487000.,78382.
25488000.,82710.
25489000.,78483.
25490000.,82572.
25491000.,82709.
25492000.,72890.
25493000.,80846.
25494000.,72239.
25495000.,81567.
25496000.,75754.
25497000.,81226.
25498000.,73740.
25499000.,70247.
25500000.,74834.
25501000.,69566.
25502000.,70699.
25503000.,80968.
25504000.,69718.
25505000.,72364.
25506000.,81541.
25507000.,73215.
25508000.,82958.
25509000.,71039.
25510000.,71049.
25511000.,73349.
25512000.,80050.
25513000.,70789.
25514000.,77417.
25515000.,70048.
25516000.,83258.
25517000.,82414.
25518000.,80295.
25519000.,78449.
25520000.,83704.
25480000.,76460.
25481000.,76764.
25482000.,70673.
25483000.,70893.
25484000.,72268.
25485000.,74122.
25486000.,82313.
25487000.,76045.
25488000.,78921.
25489000.,81701.
25490000.,81160.
25491000.,77460.
25492000.,69732.
25493000.,73784.
25494000.,71834.
25495000.,69682.
25496000.,70591.
25497000.,69881.
25498000.,71845.
25499000.,72803.
25500000.,78003.
25501000.,79856.
25502000.,81711.
25503000.,82158.
25504000.,82186.
25505000.,80852.
25506000.,79199.
25507000.,75781.
25508000.,73177.
25509000.,71159.
25510000.,70047.
25511000.,70742.
25512000.,72427.
25513000.,73667.
25514000.,74289.
25515000.,78165.
25516000.,81256.
25517000.,80583.
25518000.,83024.
25519000.,82430.
25520000.,80174.
25480000.,69134.
25481000.,69206.
25482000.,70616.
25483000.,73247.
25484000.,74577.
25485000.,78681.
25486000.,80458.
25487000.,81686.
25488000.,83496.
25489000.,82840.
25490000.,81540.
25491000.,80041.
25492000.,75634.
25493000.,73723.
,76519.
,76284.
,76461.
,77508.
,77552.
,77130.
,76960.
,77813.
,76974.
,78396.
,76589.
,76471.
,77279.
,76756.
,76603.
,77201.
