x0000,y0000
25480000.,67779.
25481000.,65425.
25482000.,68534.
25483000.,69419.
25484000.,72258.
25485000.,75833.
25486000.,78206.
25487000.,77318.
25488000.,79025.
25489000.,79906.
25490000.,78646.
25491000.,77297.
25492000.,74696.
25493000.,71595.
25494000.,69497.
25495000.,68046.
25496000.,67451.
25497000.,68199.
25498000.,69379.
25499000.,76268.
25500000.,71785.
25501000.,76880.
25502000.,80674.
25503000.,81171.
25504000.,78383.
25505000.,79881.
25506000.,78677.
25507000.,73475.
25508000.,71920.
25509000.,69931.
25510000.,69248.
25511000.,69842.
25512000.,70202.
25513000.,73073.
25514000.,73170.
25515000.,76299.
25516000.,77838.
25517000.,79910.
25518000.,80843.
25519000.,79667.
25520000.,77672.
25480000.,68162.
25481000.,67948.
25482000.,67732.
25483000.,69793.
25484000.,72308.
25485000.,75394.
25486000.,77747.
25487000.,76372.
25488000.,80182.
25489000.,78547.
25490000.,77761.
25491000.,76546.
25492000.,74536.
25493000.,71369.
25494000.,69798.
25495000.,67498.
25496000.,67666.
25497000.,67216.
25498000.,69583.
25499000.,71228.
25500000.,75240.
25501000.,76675.
25502000.,79691.
25503000.,80127.
25504000.,79895.
25505000.,78587.
25506000.,77323.
25507000.,74751.
25508000.,71569.
25509000.,70093.
25510000.,69366.
25511000.,68843.
25512000.,69215.
25513000.,71288.
25514000.,72608.
25515000.,74821.
25516000.,78750.
25517000.,80618.
25518000.,80974.
25519000.,80609.
25520000.,78537.
25480000.,69205.
25481000.,68613.
25482000.,70239.
25483000.,71124.
25484000.,73936.
25485000.,76691.
25486000.,78963.
25487000.,78013.
25488000.,80762.
25489000.,80727.
25490000.,80463.
25491000.,76789.
25492000.,74232.
25493000.,71312.
25494000.,69558.
25495000.,69156.
25496000.,68365.
25497000.,70091.
25498000.,70932.
25499000.,73914.
25500000.,76885.
25501000.,79367.
25502000.,81002.
25503000.,81341.
25504000.,78990.
25505000.,81081.
25506000.,78239.
25507000.,76450.
25508000.,73169.
25509000.,70530.
25510000.,69233.
25511000.,69647.
25512000.,71708.
25513000.,72732.
25514000.,73246.
25515000.,76169.
25516000.,79923.
25517000.,81097.
25518000.,81984.
25519000.,80920.
25520000.,78636.
25480000.,68990.
25481000.,69375.
25482000.,69563.
25483000.,72372.
25484000.,74084.
25485000.,78024.
25486000.,79519.
25487000.,80735.
25488000.,80981.
25489000.,82273.
25490000.,80836.
25491000.,78475.
25492000.,74156.
25493000.,71758.
25494000.,70723.
25495000.,68844.
25496000.,69610.
25497000.,69873.
25498000.,71164.
25499000.,72650.
25500000.,75729.
25501000.,77167.
