x0000,y0000
25475000.,91583.
25476000.,87002.
25477000.,85459.
25478000.,81451.
25479000.,81456.
25480000.,79033.
25481000.,78352.
25482000.,79301.
25483000.,81227.
25484000.,84566.
25485000.,85512.
25486000.,90585.
25487000.,91160.
25488000.,92784.
25489000.,94291.
25490000.,92171.
25491000.,90152.
25492000.,83984.
25493000.,81293.
25494000.,80416.
25495000.,80373.
25496000.,78919.
25497000.,80592.
25498000.,84742.
25499000.,87000.
25500000.,85285.
25501000.,90387.
25502000.,92958.
25503000.,93890.
25504000.,92132.
25505000.,92948.
25506000.,90565.
25507000.,88012.
25508000.,85507.
25509000.,84630.
25510000.,80714.
25511000.,79412.
25512000.,81599.
25513000.,84471.
25514000.,85885.
25515000.,90144.
25475000.,91562.
25476000.,87343.
25477000.,82731.
25478000.,80266.
25479000.,81000.
25480000.,79387.
25481000.,79646.
25482000.,80119.
25483000.,80907.
25484000.,86902.
25485000.,89268.
25486000.,93214.
25487000.,89676.
25488000.,94139.
25489000.,93000.
25490000.,93816.
25491000.,91881.
25492000.,88556.
25493000.,81167.
25494000.,79674.
25495000.,79705.
25496000.,80519.
25497000.,79460.
25498000.,82567.
25499000.,85344.
25500000.,89671.
25501000.,93066.
25502000.,94197.
25503000.,93658.
25504000.,92236.
25505000.,93365.
25506000.,92865.
25507000.,84395.
25508000.,82201.
25509000.,80162.
25510000.,79486.
25511000.,80273.
25512000.,84123.
25513000.,86812.
25514000.,83001.
25515000.,89209.
25475000.,89125.
25476000.,89942.
25477000.,87398.
25478000.,82121.
25479000.,81244.
25480000.,82704.
25481000.,80279.
25482000.,81213.
25483000.,86677.
25484000.,89988.
25485000.,88815.
25486000.,88272.
25487000.,91774.
25488000.,94340.
25489000.,93619.
25490000.,94073.
25491000.,87556.
25492000.,87522.
25493000.,86718.
25494000.,81030.
25495000.,80542.
25496000.,81337.
25497000.,79944.
25498000.,81577.
25499000.,85467.
25500000.,86827.
25501000.,94397.
25502000.,93153.
25503000.,93041.
25504000.,94783.
25505000.,91882.
25506000.,90978.
25507000.,91492.
25508000.,87569.
25509000.,81745.
25510000.,81501.
25511000.,81826.
25512000.,83058.
25513000.,86513.
25514000.,83769.
25515000.,92133.
25475000.,92651.
25476000.,89916.
25477000.,84597.
25478000.,86115.
25479000.,85630.
25480000.,83715.
25481000.,80448.
25482000.,81265.
25483000.,81410.
25484000.,85467.
25485000.,86073.
25486000.,91311.
25487000.,90356.
25488000.,95244.
25489000.,93886.
25490000.,93829.
25491000.,88726.
25492000.,84202.
25493000.,82689.
25494000.,83524.
25495000.,81327.
25496000.,80340.
25497000.,80920.
25498000.,83774.
25499000.,84326.
25500000.,87954.
25501000.,90299.
25502000.,93425.
25503000.,93638.
25504000.,94085.
25505000.,93262.
25506000.,93788.
25507000.,85652.
25508000.,83297.
25509000.,81281.
25510000.,79805.
25511000.,80710.
25512000.,81885.
25513000.,81504.
25514000.,80915.
25515000.,87131.
25475000.,91568.
25476000.,89667.
25477000.,85036.
25478000.,84027.
25479000.,80112.
25480000.,80850.
25481000.,79115.
25482000.,79733.
25483000.,79712.
25484000.,82950.
25485000.,88695.
25486000.,91002.
25487000.,91999.
25488000.,92523.
25489000.,91342.
25490000.,93294.
25491000.,90147.
25492000.,87153.
25493000.,84050.
25494000.,80493.
25495000.,80185.
25496000.,79951.
25497000.,79995.
25498000.,86083.
25499000.,87750.
25500000.,85456.
25501000.,91489.
25502000.,92987.
25503000.,93850.
25504000.,94111.
25505000.,92388.
25506000.,88892.
25507000.,84901.
25508000.,85806.
25509000.,82553.
25510000.,79885.
25511000.,81377.
25512000.,82431.
25513000.,83849.
25514000.,81050.
25515000.,85939.
25475000.,88413.
25476000.,90377.
25477000.,87049.
25478000.,84924.
25479000.,85388.
25480000.,79310.
25481000.,80429.
25482000.,80803.
25483000.,84518.
25484000.,85460.
25485000.,92123.
25486000.,93376.
25487000.,88077.
25488000.,92418.
25489000.,92856.
25490000.,93036.
25491000.,90302.
25492000.,85294.
25493000.,83733.
25494000.,81878.
25495000.,80104.
25496000.,80779.
25497000.,80308.
25498000.,80388.
25499000.,84779.
25500000.,88856.
25501000.,92856.
25502000.,94243.
25503000.,93169.
25504000.,93478.
25505000.,92879.
25506000.,93922.
25507000.,88382.
