x0000,y0000
25475000.,84808.
25476000.,83365.
25477000.,80703.
25478000.,77032.
25479000.,77366.
25480000.,74679.
25481000.,73830.
25482000.,73801.
25483000.,77164.
25484000.,78017.
25485000.,81770.
25486000.,83607.
25487000.,84946.
25488000.,87030.
25489000.,87364.
25490000.,85538.
25491000.,82554.
25492000.,79219.
25493000.,77872.
25494000.,73075.
25495000.,72972.
25496000.,73111.
25497000.,74211.
25498000.,75546.
25499000.,78364.
25500000.,81185.
25501000.,82942.
25502000.,84264.
25503000.,87250.
25504000.,85694.
25505000.,84998.
25506000.,82798.
25507000.,80345.
25508000.,77396.
25509000.,75151.
25510000.,73501.
25511000.,74907.
25512000.,76118.
25513000.,78635.
25514000.,77245.
25515000.,81465.
25475000.,85275.
25476000.,82196.
25477000.,78618.
25478000.,76709.
25479000.,76793.
25480000.,74968.
25481000.,73812.
25482000.,74830.
25483000.,76284.
25484000.,79830.
25485000.,83446.
25486000.,86684.
25487000.,86593.
25488000.,88430.
25489000.,86582.
25490000.,85608.
25491000.,83720.
25492000.,80246.
25493000.,76478.
25494000.,75066.
25495000.,73689.
25496000.,73820.
25497000.,74154.
25498000.,76366.
25499000.,79306.
25500000.,83083.
25501000.,85131.
25502000.,87355.
25503000.,88576.
25504000.,87029.
25505000.,85006.
25506000.,84939.
25507000.,80842.
25508000.,78403.
25509000.,74961.
25510000.,75033.
25511000.,74745.
25512000.,76126.
25513000.,78811.
25514000.,80317.
25515000.,82018.
25475000.,86978.
25476000.,82712.
25477000.,80740.
25478000.,76662.
25479000.,77578.
25480000.,73973.
25481000.,75009.
25482000.,75509.
25483000.,77194.
25484000.,79447.
25485000.,82184.
25486000.,84577.
25487000.,86126.
25488000.,85887.
25489000.,86603.
25490000.,84936.
25491000.,83261.
25492000.,79809.
25493000.,76853.
25494000.,74813.
25495000.,74671.
25496000.,72921.
25497000.,74434.
25498000.,75395.
25499000.,79707.
25500000.,82240.
25501000.,84404.
25502000.,87144.
25503000.,87385.
25504000.,85583.
25505000.,85932.
25506000.,83748.
25507000.,80255.
25508000.,76658.
25509000.,74550.
25510000.,74012.
25511000.,74268.
25512000.,76115.
25513000.,78960.
25514000.,79244.
25515000.,81235.
25475000.,85144.
25476000.,82242.
25477000.,79798.
25478000.,76881.
25479000.,76153.
25480000.,74447.
25481000.,73479.
25482000.,75141.
25483000.,76317.
25484000.,80091.
25485000.,83420.
25486000.,86322.
25487000.,85195.
25488000.,87783.
25489000.,87875.
25490000.,85885.
25491000.,82295.
25492000.,80441.
25493000.,77589.
25494000.,75474.
25495000.,73677.
25496000.,74337.
25497000.,75175.
25498000.,76401.
25499000.,79610.
25500000.,83013.
25501000.,86795.
25502000.,88032.
25503000.,86770.
25504000.,86240.
25505000.,87128.
25506000.,83340.
25507000.,81088.
25508000.,78701.
25509000.,76632.
25510000.,74705.
25511000.,74663.
25512000.,76110.
25513000.,79461.
25514000.,79298.
25515000.,82048.
25475000.,86903.
25476000.,83750.
25477000.,80565.
25478000.,77664.
25479000.,78233.
25480000.,76143.
25481000.,73456.
25482000.,75068.
25483000.,76374.
25484000.,79712.
25485000.,81554.
25486000.,85694.
25487000.,85505.
25488000.,88534.
25489000.,86819.
25490000.,87555.
25491000.,83664.
25492000.,81126.
25493000.,78503.
25494000.,74995.
25495000.,75440.
25496000.,74728.
25497000.,75118.
25498000.,76161.
25499000.,80219.
25500000.,82672.
25501000.,85500.
25502000.,87124.
25503000.,88394.
25504000.,86102.
25505000.,86748.
25506000.,85133.
25507000.,81245.
25508000.,78110.
25509000.,76297.
25510000.,74199.
25511000.,76077.
25512000.,76004.
25513000.,80132.
25514000.,81235.
25515000.,83156.
25475000.,86348.
25476000.,83987.
25477000.,81274.
25478000.,77780.
25479000.,77368.
25480000.,74951.
25481000.,74866.
25482000.,75306.
25483000.,77077.
25484000.,80387.
25485000.,85482.
25486000.,86163.
25487000.,86885.
25488000.,87856.
25489000.,88009.
25490000.,86857.
25491000.,84474.
25492000.,81109.
25493000.,78545.
25494000.,74564.
25495000.,74780.
25496000.,74170.
25497000.,75294.
25498000.,76311.
25499000.,80608.
25500000.,82260.
25501000.,86897.
25502000.,87242.
25503000.,88453.
25504000.,86694.
25505000.,87543.
25506000.,83988.
25507000.,80761.
25508000.,79436.
25509000.,75418.
25510000.,75206.
25511000.,75000.
25512000.,77132.
25513000.,78822.
25514000.,80052.
25515000.,83007.
25475000.,85681.
25476000.,83486.
25477000.,80125.
25478000.,77518.
25479000.,78232.
25480000.,74600.
25481000.,74930.
25482000.,74979.
25483000.,78137.
25484000.,80260.
25485000.,84444.
25486000.,86699.
25487000.,86921.
25488000.,88199.
25489000.,87862.
25490000.,86974.
25491000.,84593.
25492000.,81223.
25493000.,78749.
25494000.,75939.
25495000.,74838.
25496000.,73952.
25497000.,74857.
25498000.,77192.
25499000.,79025.
25500000.,82015.
25501000.,85242.
25502000.,88276.
25503000.,87908.
25504000.,86573.
25505000.,86427.
25506000.,83614.
25507000.,80645.
25508000.,78119.
25509000.,75596.
25510000.,74982.
25511000.,74163.
25512000.,75803.
25513000.,80320.
25514000.,79163.
25515000.,82549.
25475000.,86526.
25476000.,83493.
25477000.,80600.
25478000.,76808.
25479000.,77517.
25480000.,74870.
25481000.,74266.
25482000.,73756.
25483000.,77637.
25484000.,80131.
25485000.,83785.
25486000.,85879.
25487000.,86587.
25488000.,87509.
25489000.,88245.
25490000.,86023.
25491000.,84432.
25492000.,81641.
25493000.,78557.
25494000.,75682.
25495000.,74356.
25496000.,74865.
25497000.,74490.
25498000.,75960.
25499000.,78789.
25500000.,81085.
25501000.,86565.
25502000.,88014.
25503000.,88673.
25504000.,88043.
25505000.,87223.
25506000.,85624.
25507000.,81944.
25508000.,77768.
25509000.,76857.
25510000.,75271.
25511000.,74807.
25512000.,76446.
25513000.,78932.
25514000.,79211.
25515000.,82159.
25475000.,86896.
25476000.,84479.
25477000.,80379.
25478000.,78241.
25479000.,77383.
25480000.,76982.
25481000.,75501.
25482000.,76484.
25483000.,78381.
25484000.,82257.
25485000.,84868.
25486000.,87045.
25487000.,87131.
25488000.,89497.
25489000.,87959.
25490000.,87044.
25491000.,84633.
25492000.,82538.
25493000.,78778.
25494000.,75795.
25495000.,75213.
25496000.,75880.
25497000.,75088.
25498000.,77847.
25499000.,80004.
25500000.,84421.
25501000.,86467.
25502000.,88406.
25503000.,88452.
25504000.,87458.
25505000.,87354.
25506000.,85686.
25507000.,82476.
25508000.,79812.
25509000.,75555.
25510000.,75159.
25511000.,75146.
25512000.,82277.
25513000.,78616.
25514000.,76294.
25515000.,81784.
25475000.,86355.
25476000.,80876.
25477000.,80231.
25478000.,78343.
25479000.,78997.
25480000.,76224.
25481000.,75291.
25482000.,77171.
25483000.,77981.
25484000.,81432.
25485000.,83936.
25486000.,86705.
25487000.,87713.
25488000.,88093.
25489000.,88260.
25490000.,87869.
25491000.,85173.
25492000.,81006.
25493000.,78733.
25494000.,76165.
25495000.,75295.
25496000.,75827.
25497000.,76071.
25498000.,78570.
25499000.,81871.
25500000.,84846.
25501000.,88213.
25502000.,89188.
25503000.,89810.
25504000.,88173.
25505000.,89555.
25506000.,85924.
25507000.,82084.
25508000.,78920.
25509000.,77452.
25510000.,76573.
25511000.,75607.
25512000.,78138.
25513000.,80019.
25514000.,80048.
25515000.,83468.
25475000.,87472.
