x0000,y0000
25450000.,110961.
25451000.,110541.
25452000.,109573.
25453000.,112060.
25454000.,114060.
25455000.,119038.
25456000.,120640.
25457000.,126905.
25458000.,128474.
25459000.,129636.
25460000.,126229.
25461000.,126275.
25462000.,122125.
25463000.,117953.
25464000.,114189.
25465000.,110388.
25466000.,110079.
25467000.,110976.
25468000.,113097.
25469000.,117414.
25470000.,118244.
25471000.,123083.
25472000.,124241.
25473000.,129156.
25474000.,128919.
25475000.,127334.
25476000.,125363.
25477000.,117542.
25478000.,116199.
25479000.,115353.
25480000.,112359.
25481000.,111597.
25482000.,112035.
25483000.,114933.
25484000.,119489.
25485000.,123075.
25486000.,127395.
25487000.,126915.
25488000.,129595.
25489000.,129008.
25490000.,128622.
25491000.,126640.
25492000.,121846.
25493000.,117035.
25494000.,113107.
25495000.,111470.
25496000.,111360.
25497000.,110403.
25498000.,115664.
25499000.,118642.
25500000.,122890.
25501000.,125243.
25502000.,130295.
25503000.,131264.
25504000.,130045.
25505000.,130259.
25506000.,127874.
25507000.,122600.
25508000.,118791.
25509000.,114198.
25510000.,112567.
25511000.,112408.
25512000.,115728.
25513000.,119548.
25514000.,119814.
25515000.,124500.
25516000.,127674.
25517000.,130244.
25518000.,131797.
25519000.,128808.
25520000.,127178.
25521000.,123486.
25522000.,118381.
25523000.,118823.
25524000.,116094.
25525000.,112922.
25526000.,114405.
25527000.,115205.
25528000.,119488.
25529000.,121173.
25530000.,126189.
25531000.,127693.
25532000.,131423.
25533000.,131950.
25534000.,131447.
25535000.,129518.
25536000.,125243.
25537000.,120281.
25538000.,115674.
25539000.,114228.
25540000.,114426.
25541000.,113451.
25542000.,115470.
25543000.,119087.
25544000.,123227.
25545000.,126508.
25546000.,130397.
25547000.,132161.
25548000.,131597.
25549000.,130233.
25550000.,129900.
25450000.,113700.
25451000.,113513.
25452000.,112029.
25453000.,114630.
25454000.,118308.
25455000.,123142.
25456000.,127042.
25457000.,129830.
25458000.,131037.
25459000.,131769.
25460000.,129228.
25461000.,128766.
25462000.,124348.
25463000.,119364.
25464000.,115024.
25465000.,112260.
25466000.,123569.
25467000.,115421.
25468000.,113093.
25469000.,117821.
25470000.,114349.
25471000.,115013.
25472000.,121728.
25473000.,123146.
25474000.,126993.
