x0000,y0000
25450000.,116299.
25451000.,115808.
25452000.,115494.
25453000.,115933.
25454000.,119513.
25455000.,123033.
25456000.,129895.
25457000.,131645.
25458000.,133378.
25459000.,133722.
25460000.,131791.
25461000.,131281.
25462000.,128329.
25463000.,122865.
25464000.,118906.
25465000.,114052.
25466000.,114354.
25467000.,115264.
25468000.,115963.
25469000.,122432.
25470000.,122177.
25471000.,129106.
25472000.,131359.
25473000.,133900.
25474000.,133052.
25475000.,132381.
25476000.,129352.
25477000.,122947.
25478000.,119019.
25479000.,119383.
25480000.,114555.
25481000.,114669.
25482000.,114716.
25483000.,116788.
25484000.,122428.
25485000.,125470.
25486000.,127532.
25487000.,128556.
25488000.,130979.
25489000.,130425.
25490000.,128434.
25491000.,127334.
25492000.,123821.
25493000.,117518.
25494000.,114072.
25495000.,110777.
25496000.,112147.
25497000.,113680.
25498000.,113670.
25499000.,117645.
25500000.,121747.
25501000.,126472.
25502000.,129228.
25503000.,129710.
25504000.,129342.
25505000.,126124.
25506000.,126281.
25507000.,119869.
25508000.,120570.
25509000.,112617.
25510000.,110063.
25511000.,110750.
25512000.,110661.
25513000.,110976.
25514000.,116550.
25515000.,121716.
25516000.,124020.
25517000.,127050.
25518000.,127949.
25519000.,127685.
25520000.,124611.
25521000.,121967.
25522000.,115938.
25523000.,116777.
25524000.,112387.
25525000.,111355.
25526000.,111142.
25527000.,112036.
25528000.,114811.
25529000.,119443.
25530000.,123134.
25531000.,126198.
25532000.,128264.
25533000.,128559.
25534000.,128643.
25535000.,125914.
25536000.,123034.
25537000.,116737.
25538000.,113171.
25539000.,111857.
25540000.,111951.
25541000.,109855.
25542000.,112404.
25543000.,114735.
25544000.,118441.
25545000.,123060.
25546000.,128703.
25547000.,129389.
25548000.,128811.
25549000.,128934.
25550000.,124399.
25450000.,110000.
25451000.,108930.
25452000.,109314.
25453000.,111753.
25454000.,115453.
25455000.,117994.
25456000.,124336.
25457000.,127614.
25458000.,128130.
25459000.,128104.
25460000.,126307.
25461000.,126299.
25462000.,123103.
25463000.,118537.
25464000.,114557.
25465000.,112639.
25466000.,110608.
25467000.,111121.
25468000.,115077.
25469000.,119572.
25470000.,119828.
25471000.,123206.
25472000.,127728.
25473000.,130052.
25474000.,129429.
25475000.,127334.
25476000.,124733.
25477000.,119474.
25478000.,114676.
25479000.,115243.
25480000.,112724.
25481000.,111433.
25482000.,111406.
25483000.,113384.
25484000.,118482.
25485000.,125074.
25486000.,125106.
25487000.,124650.
25488000.,130027.
25489000.,128648.
25490000.,128434.
25491000.,124659.
25492000.,120973.
25493000.,117345.
25494000.,113761.
25495000.,111639.
25496000.,112503.
25497000.,112086.
25498000.,115033.
25499000.,117910.
25500000.,121646.
25501000.,125251.
25502000.,132534.
25503000.,130616.
25504000.,130814.
25505000.,131348.
25506000.,128524.
25507000.,121275.
25508000.,117070.
25509000.,115401.
25510000.,113804.
25511000.,112452.
25512000.,114978.
25513000.,118301.
25514000.,120854.
25515000.,124029.
25516000.,128120.
25517000.,130470.
25518000.,132035.
25519000.,132397.
25520000.,127729.
25521000.,125690.
25522000.,120545.
25523000.,119549.
25524000.,115759.
25525000.,114898.
25526000.,114970.
25527000.,117025.
25528000.,119722.
25529000.,124501.
25530000.,128236.
25531000.,128486.
25532000.,130799.
25533000.,132980.
25534000.,133372.
25535000.,127779.
25536000.,124199.
25537000.,121616.
25538000.,116440.
25539000.,114766.
25540000.,113815.
25541000.,113961.
25542000.,115604.
25543000.,119957.
25544000.,122176.
25545000.,128068.
25546000.,131957.
25547000.,132705.
25548000.,132152.
25549000.,133178.
25550000.,128876.
25450000.,114109.
25451000.,112602.
25452000.,112400.
25453000.,115323.
25454000.,116763.
25455000.,121699.
25456000.,125325.
25457000.,129830.
25458000.,132979.
25459000.,132345.
25460000.,128291.
25461000.,129607.
25462000.,126903.
25463000.,122798.
25464000.,118179.
25465000.,115581.
25466000.,115601.
25467000.,115932.
25468000.,119185.
25469000.,121696.
25470000.,123789.
25471000.,127591.
25472000.,130929.
25473000.,131374.
25474000.,134937.
25475000.,130904.
25476000.,128058.
25477000.,123101.
25478000.,118420.
25479000.,118008.
25480000.,114393.
25481000.,115036.
25482000.,115897.
25483000.,116620.
25484000.,116366.
25485000.,122419.
25486000.,130661.
25487000.,132661.
25488000.,133154.
25489000.,132796.
25490000.,131056.
25491000.,127284.
25492000.,122685.
25493000.,119148.
25494000.,115067.
25495000.,112340.
25496000.,113810.
25497000.,113553.
25498000.,116315.
25499000.,120833.
25500000.,120829.
25501000.,132919.
25502000.,131850.
25503000.,132372.
25504000.,116176.
25505000.,130621.
25506000.,121653.
25507000.,131721.
25508000.,113933.
25509000.,118599.
25510000.,120855.
25511000.,115280.
25512000.,123508.
25513000.,122200.
25514000.,114608.
25515000.,133054.
25516000.,117006.
25517000.,124078.
25518000.,128583.
25519000.,115257.
25520000.,131006.
25521000.,116237.
25522000.,123259.
25523000.,130028.
25524000.,123209.
25525000.,118084.
25526000.,124143.
25527000.,114430.
25528000.,133805.
25529000.,119048.
25530000.,130861.
25531000.,118765.
25532000.,131297.
25533000.,132271.
25534000.,131815.
25535000.,134277.
25536000.,114683.
25537000.,128945.
25538000.,114492.
25539000.,121348.
25540000.,117729.
25541000.,119069.
25542000.,115670.
25543000.,114709.
25544000.,115535.
25545000.,122424.
25546000.,132326.
25547000.,129379.
25548000.,132199.
25549000.,133775.
25550000.,132067.
25450000.,116656.
25451000.,114447.
25452000.,112290.
25453000.,115496.
25454000.,118995.
25455000.,120770.
25456000.,127155.
25457000.,131137.
25458000.,134469.
25459000.,132234.
25460000.,129863.
25461000.,129698.
25462000.,126551.
25463000.,122365.
25464000.,116508.
25465000.,115228.
25466000.,113482.
25467000.,115734.
25468000.,118236.
25469000.,122142.
25470000.,118653.
25471000.,127573.
25472000.,128298.
25473000.,132016.
25474000.,132013.
25475000.,131199.
25476000.,126131.
25477000.,122010.
25478000.,116672.
25479000.,117041.
25480000.,113925.
25481000.,112749.
25482000.,113397.
25483000.,116856.
25484000.,119402.
25485000.,123851.
25486000.,128755.
25487000.,129499.
25488000.,130471.
25489000.,131187.
25490000.,131104.
25491000.,128313.
25492000.,124634.
25493000.,114847.
25494000.,114572.
25495000.,113207.
25496000.,113206.
25497000.,112796.
25498000.,127630.
25499000.,114524.
25500000.,122714.
